Gene1	Gene2	EdgeWeight
g2	g11	0.365605305303551
g11	g3	0.29878962706338963
g11	g2	0.2874933612879225
g3	g10	0.2793663583944432
g3	g8	0.22965307897011494
g3	g11	0.2085726602141024
g3	g9	0.2036102349724204
g3	g2	0.19754198348490146
g2	g9	0.17196052409626553
g2	g8	0.16584282205885775
g10	g3	0.1580116386361313
g2	g3	0.14755971934795528
g11	g9	0.13911279963448453
g2	g10	0.13855528777292825
g11	g8	0.13698870541190494
g10	g1	0.12856096307215906
g8	g3	0.12841538536740205
g11	g10	0.12102735568248545
g11	g5	0.11204435898157447
g7	g6	0.1116596788874602
g9	g2	0.11081689335032198
g9	g3	0.10867355173834392
g4	g6	0.10742332974665897
g6	g5	0.10719052391779199
g6	g4	0.1070511044639655
g7	g4	0.1067046667983461
g5	g6	0.10603102669210568
g1	g4	0.1059516676660982
g9	g7	0.10521355582479093
g6	g7	0.10513762695780024
g10	g9	0.10509033067315912
g11	g7	0.1049929772062038
g3	g5	0.10439253345934164
g4	g7	0.1042563939545522
g1	g6	0.10419873666691318
g10	g6	0.10349911268275162
g5	g4	0.10347576097109708
g2	g7	0.1030737396811002
g4	g1	0.10285621955657516
g8	g2	0.1027298775253626
g10	g8	0.10257780930018548
g7	g5	0.10119238082545262
g8	g7	0.10117309637487287
g10	g7	0.1010920528629148
g7	g1	0.10088895395205423
g9	g1	0.10085528599147923
g8	g9	0.10083832232611044
g8	g5	0.10037545696247467
g11	g1	0.0995826225315338
g10	g4	0.09882005246310477
g2	g6	0.09851660875866793
g2	g4	0.09829040676492898
g2	g5	0.0981077816203389
g3	g7	0.0977452899871118
g11	g4	0.09754864236485113
g6	g1	0.09750622958523623
g4	g5	0.09701055635152717
g9	g8	0.09572098303630357
g9	g4	0.09505349551502107
g10	g2	0.0949604679299744
g10	g5	0.0947478395739942
g1	g5	0.09449181263605544
g2	g1	0.09448541312779962
g8	g10	0.09437792687748378
g8	g6	0.09419516759457068
g3	g4	0.09380938132973167
g8	g1	0.09368424195122664
g8	g4	0.0932948216628556
g3	g1	0.09230648318993427
g11	g6	0.09193438488205513
g3	g6	0.09182923605443516
g9	g6	0.09071271803438163
g9	g5	0.09044675567144883
g1	g7	0.08947860813466968
g5	g1	0.08927358704200172
g5	g7	0.08783665901598355
g9	g10	0.0871145436207766
g9	g11	0.08358438974610011
g1	g10	0.08128519007152951
g8	g11	0.08002672170989646
g10	g11	0.07318969326218278
g7	g9	0.0624290566169789
g4	g9	0.05857574951800457
g1	g9	0.05718676527413336
g5	g8	0.057074432502774615
g4	g8	0.05692871383448045
g5	g9	0.05577842491717519
g7	g11	0.05568635072432709
g7	g8	0.05371784263526813
g6	g10	0.052518416673369234
g6	g8	0.05183746732896661
g7	g10	0.05142998394375007
g1	g8	0.04965814492114355
g4	g10	0.049035451907375065
g6	g9	0.045417791971267836
g5	g10	0.04528948505585875
g7	g2	0.04407320074361308
g6	g2	0.04338296673685528
g4	g2	0.04067992913749861
g5	g2	0.03964027211278477
g5	g11	0.039306112110259535
g1	g2	0.038681047690765316
g4	g3	0.03428671356975549
g1	g11	0.033052456660918134
g6	g3	0.0325703912239623
g4	g11	0.0324062839899039
g1	g3	0.031946894552578084
g5	g3	0.0309126938620066
g7	g3	0.02883338463847533
g6	g11	0.02857002627875872
