Gene1	Gene2	EdgeWeight
g2	g11	268.6490388951144
g11	g3	172.37713804451556
g3	g11	160.158776256273
g3	g10	124.07725426069507
g11	g2	119.44719124136284
g3	g8	117.6850780836408
g8	g3	97.87461115284883
g2	g3	97.72512896082114
g2	g8	90.11199863818459
g10	g3	89.33874043939505
g9	g3	80.00313029874464
g3	g2	73.64238009840574
g3	g9	69.1366427456036
g2	g10	63.76977376904757
g2	g9	61.527564599807285
g11	g8	45.615403258130534
g9	g2	44.53351368364937
g10	g2	44.507028602349614
g11	g10	44.34966145288097
g9	g11	41.49333342108659
g8	g2	40.99293160885562
g8	g11	39.574264538259136
g10	g11	35.27719168192657
g10	g8	34.40091771962894
g1	g10	33.8363946880839
g9	g8	27.787188644230145
g8	g10	25.774702936380283
g7	g11	24.49063293811913
g5	g11	23.589932898130627
g11	g9	22.104748540126923
g9	g10	20.889183136308727
g6	g11	18.68807490022539
g4	g8	17.50817097907994
g5	g8	17.41993157170581
g6	g8	17.06064646847949
g1	g8	17.009899934310507
g7	g8	16.400764702609177
g4	g3	16.150457901431828
g1	g11	16.12473996443437
g4	g11	15.954014506430804
g10	g9	15.928824298723226
g7	g10	15.845184060946382
g6	g3	15.543852784596556
g8	g9	15.170102017967482
g6	g10	14.599398986302885
g5	g3	14.375389798374233
g4	g10	13.734537925056507
g7	g3	12.96376559592857
g5	g10	12.123908784297715
g1	g3	11.647785023343582
g1	g9	11.605394522968837
g1	g2	9.659425891641508
g5	g2	9.659407611144717
g6	g2	9.614736359562038
g4	g9	9.244441689640936
g7	g9	9.117725071102806
g4	g2	8.570169507902609
g5	g9	8.373582482805967
g7	g2	7.373215395125986
g6	g9	6.790974031252937
g10	g1	6.538554745086565
g11	g4	4.838475042843206
g1	g4	4.362747950002485
g1	g5	4.252545250342207
g10	g7	4.081896139363026
g11	g7	4.05389313407911
g11	g5	3.949008309480317
g2	g4	3.917358992117312
g9	g7	3.483600424796765
g5	g6	3.1939311165994786
g3	g4	3.141117076508084
g10	g6	3.1386307638888664
g4	g5	3.1016899196205903
g7	g4	3.09899221878897
g11	g1	3.0900455188235987
g3	g5	2.967147802212518
g1	g6	2.9520775999577085
g8	g7	2.880975368771912
g9	g1	2.6022372388889234
g5	g4	2.5542669373366444
g3	g7	2.5371838023609072
g4	g6	2.4582750263655697
g10	g4	2.4545803158889314
g2	g6	2.4511570955743767
g7	g6	2.334923519116362
g2	g1	2.2363247530998884
g3	g6	2.224171691688755
g11	g6	2.168211345409846
g9	g6	2.1352635871266057
g10	g5	2.108690296809475
g7	g1	2.092147779028639
g4	g1	2.0837311752885728
g8	g5	2.070731188584387
g1	g7	2.0632937021997355
g6	g5	2.042058229455097
g6	g4	1.9844585353214732
g8	g6	1.9433582542724384
g9	g4	1.936135030639644
g8	g1	1.91038130921438
g5	g7	1.896381622778472
g2	g5	1.8440998580383992
g8	g4	1.7118679005532529
g7	g5	1.6852343608383793
g6	g1	1.6180620433348034
g2	g7	1.5549938676705486
g3	g1	1.498518160594025
g5	g1	1.329997276640607
g6	g7	1.2684208896909446
g4	g7	1.1793610482885797
g9	g5	0.9787947846186288
