Gene1	Gene2	EdgeWeight
g11	g11	1.0
g3	g2	1.0
g9	g8	1.0
g8	g8	1.0
g8	g9	1.0
g9	g9	1.0
g10	g9	1.0
g8	g10	1.0
g9	g10	1.0
g3	g3	1.0
g10	g8	1.0
g10	g10	1.0
g11	g2	1.0
g2	g3	1.0
g9	g11	1.0
g8	g11	1.0
g2	g2	1.0
g9	g6	1.0
g9	g1	1.0
g11	g10	0.999999
g10	g1	0.9999549999999999
g10	g5	0.9999309999999999
g11	g8	0.9991180000000001
g11	g7	0.998828
g10	g11	0.9968809999999999
g11	g9	0.9966010000000001
g8	g6	0.9863870000000001
g8	g5	0.852309
g11	g1	0.8368690000000001
g2	g11	0.8103239999999999
g1	g4	0.7975949999999999
g9	g4	0.6760689999999999
g9	g5	0.67291
g8	g1	0.588832
g8	g4	0.5848770000000001
g10	g7	0.513021
g3	g9	0.414684
g10	g3	0.41066199999999997
g11	g4	0.337884
g3	g10	0.31781
g10	g2	0.29261
g10	g6	0.250345
g9	g7	0.23525500000000002
g8	g3	0.201628
g11	g3	0.200349
g1	g6	0.199857
g8	g7	0.19756300000000002
g10	g4	0.191966
g7	g11	0.18982000000000002
g3	g1	0.188632
g3	g5	0.18298399999999998
g8	g2	0.18104800000000001
g2	g10	0.178576
g9	g3	0.17771099999999998
g9	g2	0.162339
g6	g7	0.14372100000000002
g2	g1	0.143486
g1	g7	0.143447
g1	g2	0.140211
g7	g6	0.129735
g2	g9	0.126669
g6	g5	0.11938900000000001
g6	g1	0.10660599999999999
g2	g4	0.106151
g1	g8	0.104422
g2	g6	0.10428399999999999
g1	g11	0.097206
g11	g5	0.09579
g11	g6	0.09321900000000001
g1	g1	0.089887
g7	g3	0.086161
g3	g11	0.079959
g3	g4	0.075134
g3	g8	0.073654
g1	g10	0.069492
g5	g7	0.069133
g4	g3	0.06894199999999999
g1	g5	0.059378999999999994
g2	g8	0.056663
g1	g3	0.050797
g6	g6	0.045755000000000004
g6	g3	0.045286
g5	g4	0.044177
g2	g7	0.043341000000000005
g4	g4	0.040858
g6	g11	0.036254
g5	g2	0.030862999999999998
g2	g5	0.030081
g1	g9	0.029249
g4	g9	0.027206
g3	g7	0.025397
g5	g8	0.020350999999999998
g7	g10	0.018538
g5	g5	0.017936
g4	g2	0.017824
g5	g1	0.015222
g5	g9	0.013044
g7	g1	0.01226
g4	g7	0.01158
g6	g9	0.00971
g7	g2	0.009692000000000001
g6	g4	0.009681
g5	g10	0.008785
g4	g8	0.008694
g5	g3	0.0075650000000000005
g4	g11	0.007449
g4	g5	0.006843999999999999
g7	g8	0.00642
g5	g11	0.005293
g4	g10	0.005259000000000001
g4	g1	0.005094
g4	g6	0.004496
g7	g4	0.004061
g5	g6	0.0038950000000000005
g6	g2	0.0038829999999999997
g6	g10	0.003285
g7	g5	0.0031829999999999996
g6	g8	0.0030039999999999997
g7	g7	0.0020859999999999997
g3	g6	0.001928
g7	g9	0.0019089999999999999
