Gene1	Gene2	EdgeWeight
g1	g1	1.0
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g5	g5	1.0
g6	g6	1.0
g7	g7	1.0
g8	g8	1.0
g9	g9	1.0
g10	g10	1.0
g11	g11	1.0
g11	g3	-0.7002250089064761
g3	g11	-0.7002250089064761
g3	g8	-0.5380230508231
g8	g3	-0.5380230508231
g3	g10	-0.5172344607100011
g10	g3	-0.5172344607100011
g3	g9	-0.514601724646248
g9	g3	-0.514601724646248
g11	g2	-0.5107117147442639
g2	g11	-0.5107117147442639
g9	g2	-0.40001096995306895
g2	g9	-0.40001096995306895
g8	g2	-0.39188001452233595
g2	g8	-0.39188001452233595
g11	g8	-0.37625826825876707
g8	g11	-0.37625826825876707
g9	g11	-0.370374086868831
g11	g9	-0.370374086868831
g10	g2	-0.321574862774168
g2	g10	-0.32157486277416697
g8	g9	-0.302862010998832
g9	g8	-0.302862010998832
g10	g11	-0.259636897023924
g11	g10	-0.259636897023924
g10	g9	-0.259399465730889
g9	g10	-0.259399465730888
g10	g8	-0.25661691501362
g8	g10	-0.25661691501362
g3	g2	-0.25324483299533396
g2	g3	-0.25324483299533396
g7	g10	0
g10	g7	0
g11	g6	0
g6	g11	0
g9	g6	0
g6	g9	0
g8	g6	0
g6	g8	0
g7	g1	0
g1	g7	0
g2	g6	0
g6	g2	0
g5	g1	0
g1	g5	0
g4	g10	0
g10	g4	0
g7	g2	0
g2	g7	0
g8	g7	0
g7	g8	0
g5	g10	0
g10	g5	0
g6	g5	0
g5	g6	0
g5	g11	0
g11	g5	0
g6	g7	0
g7	g6	0
g6	g1	0
g1	g6	0
g7	g5	0
g5	g7	0
g3	g6	0
g6	g3	0
g4	g7	0
g7	g4	0
g8	g1	0
g1	g8	0
g5	g4	0
g4	g5	0
g6	g4	0
g4	g6	0
g1	g2	0
g2	g1	0
g9	g1	0
g1	g9	0
g8	g5	0
g5	g8	0
g5	g3	0
g3	g5	0
g7	g3	0
g3	g7	0
g5	g9	0
g9	g5	0
g7	g11	0
g11	g7	0
g10	g6	0
g6	g10	0
g4	g11	0
g11	g4	0
g4	g8	0
g8	g4	0
g7	g9	0
g9	g7	0
g4	g1	0
g1	g4	0
g4	g3	0
g3	g4	0
g2	g5	0
g5	g2	0
g1	g3	0
g3	g1	0
g10	g1	0
g1	g10	0
g2	g4	0
g4	g2	0
g11	g1	0
g1	g11	0
g4	g9	0
g9	g4	0
