Gene1	Gene2	EdgeWeight
g11	g8	2.03055573342909
g8	g9	1.6320852643526298
g8	g10	1.44273867221733
g5	g9	1.02990108193002
g8	g6	1.0
g7	g9	0.9701875746169559
g3	g6	0.968899296089752
g7	g10	0.956210894626938
g11	g6	0.931202234610223
g5	g6	0.878439139035645
g8	g4	0.8080370591378551
g4	g6	0.7866981806352871
g9	g8	0.7552455683996651
g3	g9	0.724480841130379
g5	g8	0.662983526165227
g2	g10	0.657494734533385
g7	g6	0.6567712606402509
g3	g4	0.637213181615154
g10	g8	0.5961618525145109
g3	g8	0.5360323227694079
g11	g9	0.488003272762106
g5	g10	0.40311266723826295
g3	g10	0.281829913860086
g8	g5	0.24114961213718697
g4	g9	0.238074387163318
g11	g5	0.230764351881672
g11	g4	0.21035515157121398
g5	g5	0.203138661792632
g2	g9	0.202258775565249
g3	g5	0.18830765259458102
g5	g4	0.17656781684023
g6	g6	0.169822410880798
g4	g10	0.164844461737095
g7	g5	0.136185841985039
g9	g6	0.132915222893249
g5	g3	0.0552485406766513
g11	g3	0.0542510276242445
g4	g8	0.0433648246263587
g10	g3	0.0376322141949626
g9	g3	0.0314253923902228
g3	g3	0.0285135192785407
g8	g3	0.0245828843088992
g2	g3	0.00793649036689849
g7	g3	0.00681486403513885
g7	g2	1.4127125333462598e-35
g6	g2	9.847709781305169e-36
g11	g2	9.84650276396673e-36
g4	g2	8.56357522070534e-36
g4	g1	7.559867312049869e-36
g8	g11	7.51863782025494e-36
g7	g1	7.50751575739264e-36
g3	g1	6.1295883685172e-36
g11	g7	5.9163185296571494e-36
g11	g1	5.534598942075151e-36
g11	g11	4.65202045363541e-36
g6	g1	4.35136896441827e-36
g5	g1	3.74259512519135e-36
g5	g11	3.734749679989819e-36
g3	g11	3.68739255238161e-36
g3	g7	3.56527358478793e-36
g5	g7	2.81536609868349e-36
g8	g1	2.6559470962522993e-36
g7	g11	2.59738746939136e-36
g1	g2	2.11580634515174e-36
g9	g7	1.9996418561304297e-36
g5	g2	9.713004771966708e-37
g8	g7	7.89241824620815e-37
g10	g7	7.16230481692385e-37
g9	g2	7.04825751944141e-37
g2	g11	6.381203738796911e-37
g4	g7	1.0830987239392898e-37
g9	g1	2.1368724379586798e-38
g1	g8	0.0
g8	g8	0.0
g7	g8	0.0
g6	g8	0.0
g2	g8	0.0
g1	g7	0.0
g7	g7	0.0
g6	g7	0.0
g2	g7	0.0
g6	g9	0.0
g1	g9	0.0
g9	g10	0.0
g9	g9	0.0
g10	g9	0.0
g1	g10	0.0
g6	g10	0.0
g2	g6	0.0
g10	g10	0.0
g11	g10	0.0
g1	g11	0.0
g4	g11	0.0
g6	g11	0.0
g9	g11	0.0
g10	g6	0.0
g4	g5	0.0
g1	g6	0.0
g10	g5	0.0
g1	g1	0.0
g2	g1	0.0
g10	g1	0.0
g2	g2	0.0
g3	g2	0.0
g8	g2	0.0
g10	g2	0.0
g1	g3	0.0
g4	g3	0.0
g6	g3	0.0
g1	g4	0.0
g2	g4	0.0
g4	g4	0.0
g6	g4	0.0
g7	g4	0.0
g9	g4	0.0
g10	g4	0.0
g1	g5	0.0
g2	g5	0.0
g6	g5	0.0
g9	g5	0.0
g10	g11	0.0
