Gene1	Gene2	EdgeWeight
g1	g2	0.1625845266862193
g2	g3	0.1095667213706062
g5	g10	0.0681985506211796
g10	g11	0.0673415309678951
g5	g11	-0.0417805465330109
g4	g9	-0.039799438192413
g5	g3	-0.0364776045953357
g4	g2	-0.0361526547519684
g1	g11	-0.0302254065321795
g11	g3	-0.0281640730293009
g7	g11	-0.0242620487673603
g7	g10	-0.0221482903502501
g3	g2	-0.0210073087533232
g5	g9	-0.0201738268471125
g2	g11	-0.0200484455721798
g6	g9	0.019618194651715
g6	g11	-0.019015498140545
g3	g11	0.0166632418825029
g7	g9	-0.0159957657173535
g6	g10	-0.0155416449930119
g4	g8	-0.0153819583924768
g4	g11	-0.0129358106482958
g10	g9	-0.0128427114801529
g6	g8	0.0123497547057467
g1	g8	-0.0114194385046545
g1	g3	-0.0113941916042575
g1	g9	-0.0109397137829478
g9	g11	0.0097893200309026
g9	g1	-0.0086547798854171
g5	g2	0.0082140584020497
g7	g2	-0.0078285471917329
g7	g8	-0.0078202931745021
g2	g8	0.0075846321797655
g1	g10	0.0073319512836599
g10	g8	-0.007280198202753
g8	g9	0.0072622620824037
g5	g1	-0.006829840963746
g5	g8	-0.006197370977963
g9	g10	0.0061198724311615
g2	g9	0.0060200088847474
g8	g10	0.0057709098634153
g6	g1	0.0053373006372169
g8	g2	-0.0053045667347282
g10	g3	0.0045422912381333
g4	g3	0.0041228665453577
g10	g2	-0.0039144557168827
g7	g1	0.0035541786208118
g11	g8	0.0035364533075107
g4	g6	0.0033515770739487
g6	g2	-0.0033432559407477
g2	g10	-0.0026009413119455
g11	g10	0.0023409040592356
g4	g10	-0.0023153615311346
g4	g1	-0.0018059625035768
g5	g7	-0.001799394192502
g9	g3	0.0017669527913851
g7	g3	0.0017406746127392
g9	g2	-0.0016941695536339
g9	g8	-0.0014750411131074
g4	g5	-0.0014405269400801
g6	g3	-0.0014084533154112
g5	g6	0.0012937610141327
g3	g8	-0.0012598252089834
g5	g4	-0.001106036567427
g3	g10	0.0009843183838476
g8	g4	-0.0009784029548997
g11	g5	-0.0009172244931365
g11	g2	0.0009006797310561
g7	g6	-0.0008871750032961
g3	g1	-0.0008334507985803
g2	g1	0.0007915222147711
g8	g3	0.0007617595968451
g6	g7	-0.00061160770397
g8	g11	-0.0005641078659257
g8	g6	-0.0005544633226523
g9	g5	-0.0005460100460392
g4	g7	0.0005095065637563
g10	g7	-0.0005044155574188
g3	g5	-0.0004863154654546
g3	g4	-0.0004711726700435
g9	g4	-0.0004235780947664
g1	g5	-0.0004019667461975
g1	g6	-0.0004007176312467
g9	g6	0.0003548314210752
g7	g4	0.0003520805983383
g6	g5	-0.0002730712018921
g11	g4	0.0002726552314686
g6	g4	0.0002653792660845
g2	g7	-0.0002391156967407
g11	g7	-0.000228416914461
g2	g4	0.000225864590883
g8	g1	0.0002016116148398
g1	g7	-0.0001939230254614
g1	g4	0.0001618196608186
g11	g9	-0.0001585347598178
g7	g5	-0.0001543510008018
g2	g5	-0.0001535520787134
g8	g7	-0.0001467536038373
g8	g5	0.0001445019107401
g10	g1	0.0001196140346947
g10	g6	9.982977439544327e-05
g11	g1	7.39508483723303e-05
g3	g9	6.163672796092405e-05
g11	g6	6.142558795377729e-05
g2	g6	6.047378889804828e-05
g9	g7	-2.688008122131021e-05
g10	g5	1.6442927939402417e-05
g10	g4	1.5042717611361528e-05
g3	g6	-1.2236366628968844e-05
g3	g7	-6.371393454058239e-06
g11	g11	0.0
g6	g6	0.0
g2	g2	0.0
g3	g3	0.0
g4	g4	0.0
g5	g5	0.0
g7	g7	0.0
g8	g8	0.0
g9	g9	0.0
g10	g10	0.0
g1	g1	0.0
