Gene1	Gene2	Score
g8	g9	0.849460630495976
g9	g10	0.818697870403704
g8	g5	-0.790046087865342
g5	g9	-0.783589032745669
g5	g8	-0.73956073434865
g8	g4	-0.651662544619501
g9	g1	-0.640107540968735
g7	g6	-0.635135243303908
g6	g7	-0.635135243303908
g7	g9	-0.611947979992612
g7	g5	0.601631815369021
g5	g7	0.601631815369021
g8	g7	-0.577404364898558
g5	g4	0.574837629464041
g9	g6	-0.572164950593649
g8	g6	-0.550299764052294
g5	g6	0.523252232656932
g5	g10	-0.505323813051532
g8	g10	0.503577300140298
g9	g5	-0.4819758993316
g7	g8	-0.478824783159081
g7	g4	0.453398313899518
g7	g10	-0.444398880250736
g9	g8	0.438092221832067
g9	g7	-0.422564177385748
g9	g4	-0.414724066456327
g6	g5	-0.41058633300886
g7	g1	0.372332871311349
g6	g4	0.363048277954347
g4	g6	0.363048277954347
g6	g9	0.340608961354333
g4	g9	-0.333397549783264
g6	g8	0.322486193940263
g10	g1	-0.30610879573117
g4	g10	-0.299648442004095
g8	g1	-0.299187245954707
g5	g1	0.296684497650767
g4	g1	0.268550749260026
g9	g2	-0.261464525914514
g4	g7	0.256796089083975
g10	g6	-0.256719943688627
g6	g1	0.239162224420157
g3	g8	-0.223745328613858
g10	g9	0.218252818632996
g5	g2	-0.215831710322483
g1	g5	0.214910318728074
g6	g10	-0.212909678904123
g10	g4	-0.211969055493897
g1	g4	0.20550378686663
g1	g6	0.201573950099495
g1	g8	-0.198890185175268
g3	g4	0.19819242186626
g11	g8	-0.196054661640033
g4	g11	0.195716490173745
g10	g7	-0.19341939773244
g7	g2	-0.192135146122246
g10	g3	-0.188142218614044
g3	g5	0.188096817045895
g6	g11	0.187156058082411
g9	g11	-0.186958177896928
g3	g9	-0.186829270289223
g2	g6	-0.186052160580385
g2	g8	-0.185953391970285
g2	g4	0.184759247503683
g9	g3	-0.184525625246634
g1	g9	-0.183492118813889
g4	g5	-0.183438354150904
g1	g7	0.183073967712063
g10	g11	-0.18299138040367
g8	g3	-0.179726822232815
g3	g7	0.178484016327289
g4	g3	0.178408755311154
g2	g7	0.175875052812286
g11	g5	-0.174333882390062
g7	g3	0.170538258933988
g3	g1	0.170150193573687
g8	g2	0.168864377009101
g2	g5	0.167702844893574
g10	g2	-0.164422290865021
g4	g8	0.163291424574525
g11	g2	0.163057057978695
g2	g11	0.163057057978695
g1	g11	0.161392071047327
g3	g6	0.158894791696231
g6	g2	0.155686619572727
g11	g4	0.154173988715563
g11	g3	0.153429248129033
g4	g2	0.150740714024998
g10	g5	0.150510762278629
g3	g2	-0.149701865613525
g11	g1	0.147848901584104
g3	g11	-0.14574141306484
g1	g2	0.145203129356679
g2	g9	-0.14481786701414
g5	g3	0.143894562354466
g1	g3	0.139759817785581
g11	g10	-0.138392530043132
g2	g3	-0.133426275277454
g2	g1	0.131980323351222
g11	g7	0.131785122571651
g11	g6	-0.130377598332932
g2	g10	0.130348946646655
g1	g10	-0.127619538493676
g6	g3	0.126081417809975
g10	g8	0.123927402176155
g5	g11	0.119923656722069
g11	g9	-0.119099066568553
g7	g11	0.106302968548302
g8	g11	-0.105252999129595
g3	g10	-0.0951316025374472
