Gene1	Gene2	EdgeWeight
g8	g9	0.8494606304959759
g9	g10	0.818697870403704
g8	g5	0.790046087865342
g5	g9	0.783589032745669
g5	g8	0.73956073434865
g8	g4	0.651662544619501
g9	g1	0.640107540968735
g7	g6	0.6351352433039079
g6	g7	0.6351352433039079
g7	g9	0.6119479799926121
g7	g5	0.601631815369021
g5	g7	0.601631815369021
g8	g7	0.577404364898558
g5	g4	0.574837629464041
g9	g6	0.5721649505936489
g8	g6	0.550299764052294
g5	g6	0.523252232656932
g5	g10	0.5053238130515321
g8	g10	0.503577300140298
g9	g5	0.4819758993316
g7	g8	0.47882478315908095
g7	g4	0.45339831389951796
g7	g10	0.44439888025073604
g9	g8	0.438092221832067
g9	g7	0.422564177385748
g9	g4	0.414724066456327
g6	g5	0.41058633300886
g7	g1	0.37233287131134896
g6	g4	0.3630482779543471
g4	g6	0.3630482779543471
g6	g9	0.340608961354333
g4	g9	0.33339754978326397
g6	g8	0.322486193940263
g10	g1	0.30610879573117
g4	g10	0.29964844200409496
g8	g1	0.29918724595470697
g5	g1	0.296684497650767
g4	g1	0.268550749260026
g9	g2	0.26146452591451397
g4	g7	0.256796089083975
g10	g6	0.256719943688627
g6	g1	0.239162224420157
g3	g8	0.223745328613858
g10	g9	0.218252818632996
g5	g2	0.215831710322483
g1	g5	0.21491031872807398
g6	g10	0.21290967890412302
g10	g4	0.21196905549389702
g1	g4	0.20550378686663
g1	g6	0.20157395009949497
g1	g8	0.19889018517526802
g3	g4	0.19819242186626002
g11	g8	0.19605466164003302
g4	g11	0.195716490173745
g10	g7	0.19341939773244002
g7	g2	0.19213514612224603
g10	g3	0.18814221861404395
g3	g5	0.18809681704589498
g6	g11	0.18715605808241104
g9	g11	0.186958177896928
g3	g9	0.186829270289223
g2	g6	0.18605216058038498
g2	g8	0.185953391970285
g2	g4	0.184759247503683
g9	g3	0.18452562524663396
g1	g9	0.183492118813889
g4	g5	0.183438354150904
g1	g7	0.183073967712063
g10	g11	0.18299138040367
g8	g3	0.179726822232815
g3	g7	0.17848401632728897
g4	g3	0.17840875531115397
g2	g7	0.17587505281228602
g11	g5	0.17433388239006198
g7	g3	0.170538258933988
g3	g1	0.17015019357368696
g8	g2	0.16886437700910098
g2	g5	0.167702844893574
g10	g2	0.164422290865021
g4	g8	0.163291424574525
g11	g2	0.16305705797869502
g2	g11	0.16305705797869502
g1	g11	0.161392071047327
g3	g6	0.158894791696231
g6	g2	0.155686619572727
g11	g4	0.15417398871556304
g11	g3	0.15342924812903302
g4	g2	0.15074071402499803
g10	g5	0.150510762278629
g3	g2	0.149701865613525
g11	g1	0.147848901584104
g3	g11	0.14574141306483998
g1	g2	0.14520312935667903
g2	g9	0.14481786701414
g5	g3	0.14389456235446602
g1	g3	0.139759817785581
g11	g10	0.13839253004313198
g2	g3	0.13342627527745402
g2	g1	0.13198032335122198
g11	g7	0.131785122571651
g11	g6	0.130377598332932
g2	g10	0.130348946646655
g1	g10	0.127619538493676
g6	g3	0.126081417809975
g10	g8	0.123927402176155
g5	g11	0.11992365672206899
g11	g9	0.119099066568553
g7	g11	0.10630296854830198
g8	g11	0.10525299912959499
g3	g10	0.0951316025374472
