Gene1	Gene2	corVal	pValue
g1	g1	1	0
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g5	g5	1	0
g6	g6	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g10	g10	1	0
g11	g11	1	0
g9	g10	0.325714700001082	1.02702128752253e-16
g10	g9	0.325714700001082	1.02702128752256e-16
g7	g5	0.206633934952656	2.23965885038001e-07
g5	g7	0.206633934952656	2.23965885038001e-07
g11	g2	0.0690539005398857	0.0865597210249911
g2	g11	0.0690539005398857	0.0865597210249912
g11	g10	0.0604578836302163	0.133596321752888
g10	g11	0.0604578836302163	0.133596321752888
g5	g10	0.0511012027530113	0.204947322256654
g10	g5	0.0511012027530112	0.204947322256655
g9	g8	0.0479177042747616	0.234628504401225
g8	g9	0.0479177042747616	0.234628504401225
g5	g11	0.0341878070592291	0.396586519599011
g11	g5	0.034187807059229	0.396586519599011
g2	g1	0.030841267883063	0.444444461925257
g1	g2	0.0308412678830628	0.444444461925259
g3	g11	0.0238031701643528	0.555094694755138
g11	g3	0.0238031701643528	0.555094694755138
g6	g4	0.0177480318024791	0.659942429956546
g4	g6	0.0177480318024791	0.659942429956546
g6	g11	0.0150456130884439	0.709156973301629
g11	g6	0.0150456130884439	0.709156973301629
g3	g10	-0.016578596670458	0.681074749347704
g10	g3	-0.016578596670458	0.681074749347703
g5	g1	-0.0215507825310775	0.593143074536905
g1	g5	-0.0215507825310775	0.593143074536905
g11	g1	-0.0235198065337999	0.559815317094979
g1	g11	-0.0235198065337999	0.559815317094979
g6	g8	-0.0265836636375944	0.509830290725253
g8	g6	-0.0265836636375944	0.509830290725252
g9	g11	-0.0300854355976829	0.455691471570817
g11	g9	-0.0300854355976829	0.455691471570817
g7	g11	-0.030204655582897	0.453906901062353
g11	g7	-0.030204655582897	0.453906901062353
g10	g8	-0.0322553675209132	0.423832407736066
g8	g10	-0.0322553675209132	0.423832407736066
g4	g11	-0.034462404345418	0.392802344530602
g11	g4	-0.034462404345418	0.392802344530602
g8	g11	-0.0358714949301981	0.373729646193914
g11	g8	-0.0358714949301982	0.373729646193914
g2	g10	-0.0402966930689113	0.317637146670169
g10	g2	-0.0402966930689114	0.317637146670169
g7	g1	-0.0407401960271909	0.312335834652834
g1	g7	-0.040740196027191	0.312335834652833
g6	g1	-0.0409446525513281	0.309911607644741
g1	g6	-0.0409446525513282	0.30991160764474
g3	g1	-0.0681527681522188	0.0907578013545235
g1	g3	-0.0681527681522189	0.0907578013545232
g4	g10	-0.06849823154448	0.0891294900524616
g10	g4	-0.0684982315444801	0.0891294900524614
g7	g10	-0.0743780501914232	0.0648451750052826
g10	g7	-0.0743780501914232	0.0648451750052825
g3	g5	-0.076842449585327	0.0564328942672584
g5	g3	-0.076842449585327	0.0564328942672584
g3	g8	-0.0794413934208155	0.0485639733932449
g8	g3	-0.0794413934208155	0.0485639733932449
g2	g3	-0.0827853581689573	0.0398109184198814
g3	g2	-0.0827853581689573	0.0398109184198814
g3	g6	-0.0835651044007966	0.0379739707260164
g6	g3	-0.0835651044007966	0.0379739707260164
g7	g3	-0.0885869907012862	0.0277841699332285
g3	g7	-0.0885869907012862	0.0277841699332285
g1	g4	-0.092775508416845	0.0211780344371837
g4	g1	-0.092775508416845	0.0211780344371837
g6	g10	-0.0929777004932716	0.0208969997078687
g10	g6	-0.0929777004932716	0.0208969997078686
g2	g5	-0.0939397879543744	0.0196037320830367
g5	g2	-0.0939397879543744	0.0196037320830367
g3	g4	-0.102550640422966	0.0108074893820447
g4	g3	-0.102550640422967	0.0108074893820447
g2	g4	-0.109967087610343	0.0062516198505486
g4	g2	-0.109967087610343	0.00625161985054858
g1	g8	-0.125862042701949	0.00173339969077124
g8	g1	-0.12586204270195	0.00173339969077123
g8	g4	-0.127862573752853	0.00145922516877887
g4	g8	-0.127862573752853	0.00145922516877887
g4	g5	-0.129393485807603	0.00127699278464501
g5	g4	-0.129393485807603	0.001276992784645
g7	g2	-0.13130634612966	0.00107877742932686
g2	g7	-0.131306346129661	0.00107877742932686
g7	g4	-0.136392241209382	0.000681464532959986
g4	g7	-0.136392241209382	0.000681464532959986
g5	g6	-0.142024233109957	0.000402243055631423
g6	g5	-0.142024233109957	0.000402243055631422
g2	g6	-0.146583094386059	0.000258773353259358
g6	g2	-0.146583094386059	0.000258773353259358
g2	g8	-0.149876419430819	0.000186652456239143
g8	g2	-0.149876419430819	0.000186652456239142
g7	g8	-0.153369945744163	0.000131008429854565
g8	g7	-0.153369945744163	0.000131008429854564
g2	g9	-0.156460449558086	9.51744518963745e-05
