SourceGENES,TargetGENES,Interaction,Edges
g1,g10,1.31212323493477,repression
g9,g4,1.1953004310656,repression
g4,g5,1.14010832881292,repression
g4,g4,1,activation
g1,g1,0.833343565984304,activation
g1,g3,0.832136331557675,repression
g3,g9,0.697938772756638,repression
g11,g3,0.65417020786769,activation
g4,g8,0.512551526606949,repression
g11,g7,0.429735993130452,repression
g11,g1,0.422744216954394,repression
g11,g10,0.407996481920351,activation
g6,g9,0.390812925861853,repression
g11,g2,0.374365955546273,activation
g9,g9,0.350818821386266,activation
g6,g4,0.307988167291711,activation
g3,g6,0.266091608384189,repression
g6,g8,0.249938519915776,repression
g1,g11,0.237619403863002,repression
g6,g3,0.2306591466457,repression
g3,g4,0.132187653947034,repression
g10,g11,0.0307334310896264,activation
g6,g6,0.0307272507885409,activation
g10,g10,0.0162070115829549,activation
g3,g11,0.0125268110079763,activation
g11,g5,0.0116591749262814,activation
g10,g3,0.0105429412535271,repression
g10,g1,0.0102063870885797,repression
g9,g8,0.0101308929852056,activation
g10,g9,8.08173152344433e-05,activation
g5,g8,1.19034038833301e-35,repression
g5,g5,5.87652832693224e-36,activation
g8,g9,5.11647201109529e-36,activation
g2,g10,4.87332232475476e-36,repression
g7,g9,4.86906474707401e-36,repression
g7,g8,3.47014389723878e-36,repression
g8,g5,3.25987841251401e-36,repression
g7,g3,2.96754649768547e-36,repression
g8,g4,2.52741927764979e-36,repression
g2,g1,1.93536071091177e-36,activation
g8,g6,1.4468216822172e-36,repression
g7,g5,9.78997184071551e-37,activation
g2,g3,9.15201255799445e-37,repression
g8,g8,7.75337534142908e-37,activation
g5,g9,6.93456789986191e-37,repression
g5,g2,3.65990671275451e-37,repression
g1,g2,0,no regulation
g1,g4,0,no regulation
g1,g5,0,no regulation
g1,g6,0,no regulation
g1,g7,0,no regulation
g1,g8,0,no regulation
g1,g9,0,no regulation
g2,g2,0,no regulation
g2,g4,0,no regulation
g2,g5,0,no regulation
g2,g6,0,no regulation
g2,g7,0,no regulation
g2,g8,0,no regulation
g2,g9,0,no regulation
g2,g11,0,no regulation
g3,g1,0,no regulation
g3,g2,0,no regulation
g3,g3,0,no regulation
g3,g5,0,no regulation
g3,g7,0,no regulation
g3,g8,0,no regulation
g3,g10,0,no regulation
g4,g1,0,no regulation
g4,g2,0,no regulation
g4,g3,0,no regulation
g4,g6,0,no regulation
g4,g7,0,no regulation
g4,g9,0,no regulation
g4,g10,0,no regulation
g4,g11,0,no regulation
g5,g1,0,no regulation
g5,g3,0,no regulation
g5,g4,0,no regulation
g5,g6,0,no regulation
g5,g7,0,no regulation
g5,g10,0,no regulation
g5,g11,0,no regulation
g6,g1,0,no regulation
g6,g2,0,no regulation
g6,g5,0,no regulation
g6,g7,0,no regulation
g6,g10,0,no regulation
g6,g11,0,no regulation
g7,g1,0,no regulation
g7,g2,0,no regulation
g7,g4,0,no regulation
g7,g6,0,no regulation
g7,g7,0,no regulation
g7,g10,0,no regulation
g7,g11,0,no regulation
g8,g1,0,no regulation
g8,g2,0,no regulation
g8,g3,0,no regulation
g8,g7,0,no regulation
g8,g10,0,no regulation
g8,g11,0,no regulation
g9,g1,0,no regulation
g9,g2,0,no regulation
g9,g3,0,no regulation
g9,g5,0,no regulation
g9,g6,0,no regulation
g9,g7,0,no regulation
g9,g10,0,no regulation
g9,g11,0,no regulation
g10,g2,0,no regulation
g10,g4,0,no regulation
g10,g5,0,no regulation
g10,g6,0,no regulation
g10,g7,0,no regulation
g10,g8,0,no regulation
g11,g4,0,no regulation
g11,g6,0,no regulation
g11,g8,0,no regulation
g11,g9,0,no regulation
g11,g11,0,no regulation
