Gene1	Gene2	EdgeWeight
g10	g1	0.1508769728734113
g9	g10	0.1345191416777796
g5	g7	0.1315333030533015
g4	g6	0.1214167261656613
g7	g8	0.1128889041593134
g8	g9	0.1083488579633608
g5	g8	0.1062774348513757
g4	g5	0.0909540735974432
g8	g5	0.0875154768473782
g9	g1	0.0870882999782605
g11	g8	0.0783979213522219
g11	g5	0.0694001769783726
g5	g4	0.0522863146659354
g6	g8	0.0501850649038412
g11	g10	0.0464264496515661
g8	g4	0.0453409434025857
g11	g1	0.0415688246614568
g7	g5	0.040664577197121
g4	g9	0.0392200882670118
g11	g9	0.0332348617305302
g10	g2	0.0318556264122188
g11	g6	0.0307073374304957
g10	g6	0.0303683769075681
g9	g8	0.028640723693294
g11	g2	0.0275230287059416
g8	g10	0.0269010322588993
g7	g6	0.0237019933422549
g10	g7	0.0236666452727216
g7	g4	0.0226766427937448
g5	g9	0.0221766305407477
g6	g7	0.0215789356480717
g4	g8	0.0209649385546264
g3	g5	0.0201425159680401
g9	g5	0.0198828606657255
g8	g6	0.0186220038913006
g1	g10	0.017755888902414
g7	g9	0.0169259660554756
g11	g3	0.0166718417637358
g4	g3	0.0166510143491777
g3	g8	0.0158370885918628
g2	g9	0.015679319143108
g9	g4	0.0153682198873118
g8	g1	0.0148242050629572
g10	g8	0.0144967270410223
g6	g5	0.0135822881497649
g1	g8	0.0127451915810591
g4	g10	0.0112778476901159
g11	g7	0.0106680850339479
g10	g11	0.0093821093382156
g5	g6	0.0090849201256256
g6	g9	0.0088369873646738
g6	g4	0.0085405537502535
g4	g7	0.007634199359957
g3	g9	0.0076201781416726
g5	g10	0.0076148895927457
g2	g1	0.00703419540518
g2	g10	0.0064565880452378
g1	g5	0.0062728321678473
g6	g3	0.0061607405268001
g7	g10	0.0061056734876135
g5	g1	0.006074403481662
g6	g10	0.0060190890371002
g2	g3	0.0059026899762904
g1	g3	0.0057894130453186
g5	g2	0.0057020540134964
g2	g8	0.0054735155436934
g4	g1	0.0052805620700295
g9	g3	0.0047817026071051
g10	g9	0.0046215146124282
g1	g9	0.004596837663977
g2	g5	0.0044147511972243
g3	g2	0.0041042710639555
g2	g4	0.003837755058998
g9	g7	0.0035901591297406
g5	g3	0.0034240251387546
g3	g4	0.0034167750582555
g10	g5	0.0034108487367345
g4	g2	0.0033645339714121
g7	g3	0.0032220064640373
g3	g6	0.0030778035133407
g9	g11	0.0026079879948791
g2	g6	0.0025808291378723
g11	g4	0.0022144978941549
g1	g6	0.0021897265906892
g10	g4	0.0020830153307567
g1	g4	0.0020495510960243
g3	g1	0.0018377909264875
g6	g2	0.0017920876989288
g1	g7	0.001683684039871
g9	g6	0.0016155157032079
g3	g10	0.0015774945971385
g1	g2	0.0014634982532989
g6	g1	0.0013662472877223
g7	g1	0.0012116552820995
g7	g2	0.001037311464962
g4	g11	0.0008259145829304
g9	g2	0.0007891368777265
g3	g7	0.0007687196684841
g8	g11	0.0007442435110799
g8	g7	0.0007335717159246
g8	g3	0.0006065007031803
g6	g11	0.0004621187434099
g7	g11	0.0003552756464315
g2	g7	0.0002455749108849
g1	g11	0.0001667622781394
g10	g3	0.000163249208231
g5	g11	0.000144497072979
g2	g11	0.0001051891775655
g3	g11	2.619832292157426e-05
g8	g2	2.444272050970316e-05
g11	g11	0.0
g6	g6	0.0
g2	g2	0.0
g3	g3	0.0
g4	g4	0.0
g5	g5	0.0
g7	g7	0.0
g8	g8	0.0
g9	g9	0.0
g10	g10	0.0
g1	g1	0.0
