TF	target	importance
g1	g5	0.5699233340972196
g2	g6	0.5292823627517259
g5	g1	0.5117710236022064
g6	g2	0.505641929296815
g2	g3	0.3825453039593354
g1	g4	0.26035472285475697
g2	g4	0.2562764381881166
g4	g3	0.23381088755648738
g3	g2	0.23104002790026398
g3	g4	0.22461290322568522
g2	g1	0.16182589465520972
g6	g3	0.1586474309509924
g3	g6	0.1571626147949199
g6	g1	0.15691994872579426
g1	g6	0.15565934425053052
g5	g4	0.1536895530877526
g6	g5	0.15050640075619579
g1	g2	0.13408796008475465
g4	g5	0.12199603615306662
g1	g3	0.11663865056586248
g4	g1	0.11534692679169475
g5	g3	0.10835772696732221
g2	g5	0.10646428988669411
g5	g6	0.10508160456049068
g6	g4	0.10506638264368873
g4	g2	0.0682865691608747
g5	g2	0.06094351355729171
g3	g1	0.054136206225094845
g4	g6	0.05281407364233301
g3	g5	0.051109939106823675
