Gene1	Gene2	EdgeWeight
g1	g1	1.0
g5	g2	1.0
g5	g6	1.0
g1	g6	1.0
g5	g5	1.0
g4	g4	1.0
g5	g3	1.0
g3	g3	1.0
g1	g3	1.0
g1	g4	1.0
g6	g6	1.0
g2	g2	1.0
g1	g2	1.0
g5	g1	1.0
g4	g3	0.9999969999999999
g1	g5	0.999993
g3	g4	0.999769
g3	g1	0.968593
g6	g3	0.967191
g2	g5	0.522502
g2	g4	0.19626400000000002
g2	g3	0.160114
g4	g6	0.151838
g6	g5	0.117809
g6	g1	0.11105899999999999
g2	g1	0.10647100000000001
g2	g6	0.094404
g6	g4	0.075924
g3	g6	0.06902799999999999
g4	g2	0.068399
g6	g2	0.052377999999999994
g4	g1	0.050219
g5	g4	0.039506
g3	g5	0.031251999999999995
g3	g2	0.012668
g4	g5	0.005285
