Gene1	Gene2	Score
g6	g2	-0.724129166938369
g2	g6	-0.724129166938369
g3	g2	-0.71523995614532
g2	g3	-0.71523995614532
g5	g1	-0.714510183311828
g1	g5	-0.714510183311828
g5	g4	0.677882189850177
g6	g1	0.657808714009668
g1	g6	0.657808714009668
g6	g5	-0.632206745078784
g6	g3	0.631278564582585
g3	g6	0.631278564582585
g5	g3	0.578016184919816
g1	g4	-0.57405673344636
g6	g4	-0.571709499090087
g3	g5	-0.550249167548193
g4	g3	0.534091392705098
g3	g4	0.534091392705098
g5	g6	-0.503381373021059
g1	g3	-0.475681825541561
g2	g1	-0.451919673559016
g1	g2	-0.451919673559016
g3	g1	0.440139110966703
g4	g2	-0.438918665277573
g2	g4	-0.438918665277573
g2	g5	0.383231979847325
g4	g5	-0.34690632399865
g4	g6	0.311585862707713
g5	g2	-0.207629235812537
g4	g1	0.203644296489927
