Gene1	Gene2	EdgeWeight
g6	g2	0.7241291669383689
g2	g6	0.7241291669383689
g3	g2	0.71523995614532
g2	g3	0.71523995614532
g5	g1	0.714510183311828
g1	g5	0.714510183311828
g5	g4	0.677882189850177
g6	g1	0.6578087140096679
g1	g6	0.6578087140096679
g6	g5	0.6322067450787839
g6	g3	0.6312785645825849
g3	g6	0.6312785645825849
g5	g3	0.578016184919816
g1	g4	0.57405673344636
g6	g4	0.5717094990900871
g3	g5	0.550249167548193
g4	g3	0.534091392705098
g3	g4	0.534091392705098
g5	g6	0.503381373021059
g1	g3	0.475681825541561
g2	g1	0.45191967355901597
g1	g2	0.45191967355901597
g3	g1	0.44013911096670294
g4	g2	0.438918665277573
g2	g4	0.438918665277573
g2	g5	0.383231979847325
g4	g5	0.34690632399865
g4	g6	0.31158586270771305
g5	g2	0.207629235812537
g4	g1	0.203644296489927
