Gene1	Gene2	EdgeWeight
g2	g6	1.9357805451291077
g6	g2	1.9357805451291077
g1	g5	1.9122182514679469
g5	g1	1.9122182514679469
g3	g4	1.7933541062576406
g4	g3	1.7933541062576406
g4	g5	1.4177416892044188
g5	g4	1.4177416892044188
g2	g3	1.319126549395468
g3	g2	1.319126549395468
g3	g6	1.2157253850896852
g6	g3	1.2157253850896852
g1	g6	0.9536646584322012
g6	g1	0.9536646584322012
g2	g5	0.7088471838402238
g5	g2	0.7088471838402238
g1	g2	0.6331813638287003
g2	g1	0.6331813638287003
g1	g4	0.6187208936257629
g4	g1	0.6187208936257629
g5	g6	0.5374880927909771
g6	g5	0.5374880927909771
g2	g4	0.5325186488367485
g4	g2	0.5325186488367485
g3	g5	0.4404771799755195
g5	g3	0.4404771799755195
g4	g6	0.29522251691676205
g6	g4	0.29522251691676205
g1	g3	0.11399464577201475
g3	g1	0.11399464577201475
