Gene1	Gene2	corVal	pValue
g1	g1	1	0
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g5	g5	1	0
g6	g6	1	0
g4	g3	-0.00844951364723052	0.705975986186608
g3	g4	-0.00844951364723056	0.705975986186607
g6	g1	-0.117192830074187	1.51603884764231e-07
g1	g6	-0.117192830074188	1.51603884764216e-07
g6	g3	-0.120553577973089	6.58047679429837e-08
g3	g6	-0.120553577973089	6.58047679429814e-08
g4	g5	-0.145449137713383	6.62758145087212e-11
g5	g4	-0.145449137713383	6.62758145087198e-11
g6	g4	-0.3586040989682	1.24276520555994e-61
g4	g6	-0.3586040989682	1.24276520555958e-61
g6	g5	-0.369511098559479	1.31009704795686e-65
g5	g6	-0.369511098559479	1.3100970479563e-65
g5	g3	-0.41056585348204	5.09032254292721e-82
g3	g5	-0.41056585348204	5.09032254292706e-82
g1	g3	-0.430356223064762	8.54411987169408e-91
g3	g1	-0.430356223064763	8.54411987169359e-91
g4	g1	-0.435746797731041	2.74219615020697e-93
g1	g4	-0.435746797731041	2.74219615020666e-93
g2	g5	-0.442633900085869	1.5342063964094e-96
g5	g2	-0.442633900085869	1.53420639640914e-96
g2	g1	-0.447878475201102	4.55501810552191e-99
g1	g2	-0.447878475201102	4.55501810552126e-99
g4	g2	-0.522435706185955	3.30757300357331e-140
g2	g4	-0.522435706185955	3.30757300357331e-140
g3	g2	-0.540259842905424	1.18852264363699e-151
g2	g3	-0.540259842905424	1.18852264363699e-151
g6	g2	-0.741717128905949	0
g2	g6	-0.741717128905949	0
g5	g1	-0.756438429613077	0
g1	g5	-0.756438429613077	0
