Gene1	Gene2	EdgeWeight
g1	g1	1.0
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g5	g5	1.0
g6	g6	1.0
g5	g1	-0.7564384296130771
g1	g5	-0.7564384296130771
g2	g6	-0.7417171289059491
g6	g2	-0.7417171289059491
g2	g3	-0.5402598429054241
g3	g2	-0.5402598429054241
g2	g4	-0.522435706185955
g4	g2	-0.522435706185955
g1	g2	-0.447878475201102
g2	g1	-0.447878475201102
g2	g5	-0.442633900085869
g5	g2	-0.442633900085869
g1	g4	-0.435746797731041
g4	g1	-0.435746797731041
g3	g1	-0.43035622306476295
g1	g3	-0.43035622306476207
g3	g5	-0.41056585348203994
g5	g3	-0.41056585348203994
g5	g6	-0.36951109855947895
g6	g5	-0.36951109855947895
g4	g6	-0.3586040989682
g6	g4	-0.3586040989682
g5	g4	-0.145449137713383
g4	g5	-0.145449137713383
g3	g6	-0.12055357797308901
g6	g3	-0.12055357797308901
g1	g6	-0.117192830074188
g6	g1	-0.117192830074187
g4	g3	0
g3	g4	0
