Parent	Type	Child	Weight	Probability	Score
g2	+	g2	0.659730	1.000000	0.872901
g3	+	g2	0.439461	1.000000	0.581459
g4	+	g2	0.034334	0.010377	0.000471
g1	+	g2	0.340963	0.994734	0.448759
g5	+	g2	0.025231	0.014678	0.000490
g6	-	g2	-0.427093	1.000000	-0.565095
g7	+	g2	0.138118	0.374356	0.068412
g8	+	g2	0.508595	0.999172	0.672374
g2	+	g3	0.580404	1.000000	0.767942
g3	+	g3	0.620950	1.000000	0.821591
g4	+	g3	0.001036	0.002561	0.000004
g1	+	g3	0.418347	0.999969	0.553506
g5	+	g3	0.183916	0.240097	0.058426
g6	-	g3	-0.233853	0.576352	-0.178332
g7	+	g3	0.439486	0.999899	0.581433
g8	+	g3	0.755792	0.999998	1.000000
g2	-	g4	-0.200287	0.762868	-0.202163
g3	-	g4	-0.040449	0.033989	-0.001819
g4	+	g4	0.067712	0.051568	0.004620
g1	+	g4	0.085868	0.103086	0.011712
g5	+	g4	0.199258	0.566342	0.149312
g6	-	g4	-0.295922	0.999962	-0.391526
g7	-	g4	-0.127604	0.212361	-0.035854
g8	-	g4	-0.423103	0.984887	-0.551355
g2	+	g1	0.226330	0.878235	0.262998
g3	+	g1	0.258155	0.998055	0.340906
g4	+	g1	0.112236	0.129549	0.019238
g1	+	g1	0.459373	1.000000	0.607805
g5	-	g1	-0.051568	0.036917	-0.002519
g6	-	g1	-0.380510	1.000000	-0.503460
g7	-	g1	-0.258543	0.939539	-0.321400
g8	+	g1	0.514041	0.999376	0.679713
g2	-	g5	-0.136188	0.290800	-0.052400
g3	+	g5	0.294961	0.000000	0.000000
g4	+	g5	0.106556	0.141625	0.019967
g1	-	g5	-0.081134	0.097822	-0.010501
g5	+	g5	0.125489	0.195888	0.032525
g6	-	g5	-0.432593	1.000000	-0.572371
g7	-	g5	-0.207355	0.815583	-0.223759
g8	-	g5	-0.475554	0.999742	-0.629051
g2	+	g6	0.074487	0.149840	0.014768
g3	-	g6	-0.317996	0.000000	-0.000000
g4	-	g6	-0.090577	0.191439	-0.022943
g1	-	g6	-0.017442	0.031092	-0.000718
g5	-	g6	-0.122551	0.411661	-0.066751
g6	+	g6	0.569908	1.000000	0.754056
g7	+	g6	0.371067	1.000000	0.490966
g8	+	g6	0.624018	1.000000	0.825650
g2	-	g7	-0.153551	0.399663	-0.081198
g3	-	g7	-0.051277	0.074084	-0.005026
g4	-	g7	-0.063297	0.080431	-0.006736
g1	-	g7	-0.164046	0.377402	-0.081916
g5	-	g7	-0.043183	0.043180	-0.002467
g6	+	g7	0.490238	1.000000	0.648643
g7	+	g7	0.653230	1.000000	0.864301
g8	-	g7	-0.226353	0.872728	-0.261374
g2	-	g8	-0.120049	0.999887	-0.158821
g3	-	g8	-0.040801	0.139554	-0.007534
g4	-	g8	-0.000708	0.002700	-0.000003
g1	-	g8	-0.090273	0.818988	-0.097821
g5	-	g8	-0.036218	0.090975	-0.004360
g6	+	g8	0.190547	1.000000	0.252116
g7	-	g8	-0.090138	0.710817	-0.084775
g8	+	g8	0.152399	0.930924	0.187714
