Gene1	Gene2	EdgeWeight
g2	g2	1.0
g3	g3	1.0
g6	g1	1.0
g3	g2	1.0
g6	g5	1.0
g6	g6	1.0
g1	g1	1.0
g8	g6	1.0
g6	g7	1.0
g7	g6	1.0
g2	g3	1.0
g7	g7	1.0
g6	g2	1.0
g6	g8	1.0
g8	g3	0.9999979999999999
g1	g3	0.999969
g6	g4	0.9999620000000001
g7	g3	0.999899
g2	g8	0.9998870000000001
g8	g5	0.999742
g8	g1	0.999376
g8	g2	0.999172
g3	g1	0.9980549999999999
g1	g2	0.994734
g8	g4	0.9848870000000001
g7	g1	0.9395389999999999
g8	g8	0.930924
g2	g1	0.878235
g8	g7	0.8727280000000001
g1	g8	0.818988
g7	g5	0.815583
g2	g4	0.762868
g7	g8	0.710817
g6	g3	0.5763520000000001
g5	g4	0.566342
g5	g6	0.41166099999999994
g2	g7	0.399663
g1	g7	0.377402
g7	g2	0.374356
g2	g5	0.2908
g5	g3	0.24009699999999998
g7	g4	0.21236100000000002
g5	g5	0.195888
g4	g6	0.191439
g2	g6	0.14984
g4	g5	0.141625
g3	g8	0.13955399999999998
g4	g1	0.129549
g1	g4	0.10308599999999998
g1	g5	0.097822
g5	g8	0.090975
g4	g7	0.08043099999999999
g3	g7	0.074084
g4	g4	0.051567999999999996
g5	g7	0.04318
g5	g1	0.036917
g3	g4	0.033989
g1	g6	0.031092
g5	g2	0.014678
g4	g2	0.010376999999999999
g4	g8	0.0027
g4	g3	0.002561
g3	g6	0.0
g3	g5	0.0
