Gene1	Gene2	EdgeWeight
g7	g1	0.7156655204790109
g1	g7	0.7156655204790109
g7	g2	0.696772532987389
g3	g2	0.650596481298308
g2	g3	0.650596481298308
g8	g2	0.633533013390423
g2	g8	0.633533013390423
g7	g3	0.6283375863843841
g8	g3	0.615627832578768
g3	g8	0.615627832578768
g2	g7	0.594985802384599
g1	g2	0.5625179774842091
g7	g8	0.553393927122316
g1	g3	0.525380016748735
g2	g1	0.461991222278113
g1	g8	0.45934563676850804
g8	g6	0.44112378905573296
g6	g8	0.44112378905573296
g3	g7	0.427571721206508
g7	g6	0.418424462623609
g6	g7	0.417719034245396
g6	g2	0.39721680197044107
g6	g3	0.374181003849205
g8	g7	0.361669877197974
g8	g1	0.36147132975571294
g6	g1	0.35700920806842895
g1	g6	0.332155578185006
g3	g1	0.331828290012015
g2	g6	0.32465832993388394
g5	g3	0.273149146236227
g3	g5	0.273149146236227
g3	g6	0.26750014089842
g2	g4	0.24041270710572699
g8	g5	0.227499987893433
g5	g8	0.227499987893433
g3	g4	0.21331077691760897
g2	g5	0.20859513623309198
g7	g5	0.206717751222536
g4	g2	0.183934071003162
g8	g4	0.18348894326770102
g7	g4	0.18327871796612802
g6	g4	0.18032738073180898
g1	g4	0.173935826937542
g1	g5	0.16989074088101302
g4	g3	0.167433527670877
g5	g7	0.15189130324367098
g4	g8	0.151848558263582
g6	g5	0.149734885402356
g5	g2	0.14906135624639402
g5	g4	0.143565222439943
g4	g6	0.13577342264547598
g4	g7	0.13302883412660002
g4	g5	0.132639914015667
g5	g6	0.124648173015895
g4	g1	0.123943302710995
g5	g1	0.11538446501446001
