Regulator	Target	SINGE_Score
g8	g2	6
g3	g1	0.66666
g2	g3	0.375
g5	g2	0.24
g1	g3	0.09375
g8	g4	0.07407
g6	g1	0.04958
g4	g7	0.04166
g3	g5	0.03061
g8	g5	0.02666
g4	g2	0.02343
g3	g7	0.01851
g1	g6	0.01662
g2	g4	0.015
g3	g2	0.0136
g5	g1	0.01239
g1	g5	0.01134
g7	g1	0.01041
g5	g3	0.0096
g2	g6	0.00887
g6	g2	0.00823
g7	g3	0.00765
g5	g6	0.00713
g7	g2	0.00666
g5	g4	0.00585
g1	g2	0.0055
g1	g4	0.00519
g4	g5	0.00489
g5	g8	0.00462
g8	g3	0.00438
g4	g3	0.00415
g2	g7	0.00394
g2	g8	0.00375
g5	g7	0.00356
g4	g8	0.0034
g4	g6	0.00309
g6	g4	0.00296
