SourceGENES,TargetGENES,Interaction,Edges
g4,g8,1.69325087226359,repression
g2,g8,1.49500283662309,repression
g4,g4,1,activation
g5,g8,0.967785463494643,repression
g8,g5,0.9545424710145,repression
g2,g4,0.942417351017322,repression
g1,g8,0.880915282428732,repression
g5,g5,0.748873242857133,activation
g8,g8,0.742822634440977,activation
g1,g5,0.71007725903405,repression
g1,g4,0.576881298723359,repression
g8,g1,0.533323466998022,repression
g5,g4,0.528744597106627,activation
g1,g1,0.340272686161388,activation
g8,g4,0.307618806295393,repression
g1,g2,0.295060407422813,repression
g5,g2,0.245048107631852,repression
g5,g1,0.234689808599122,repression
g8,g2,0.186149810454382,repression
g1,g7,0.146439223169356,repression
g5,g7,0.109072471448156,repression
g4,g2,0.0911709497704524,repression
g4,g7,0.0752076044607423,repression
g8,g6,0.0606208655766636,repression
g7,g8,0.0542115322633576,repression
g8,g7,0.0470381049130245,repression
g4,g5,0.0272821236726093,activation
g7,g4,0.0245722794977442,repression
g3,g3,5.32276431072763e-36,activation
g6,g2,4.65660814004963e-36,repression
g6,g4,4.24727516205538e-36,repression
g6,g5,2.97664191712341e-36,repression
g6,g7,7.27638203344015e-37,activation
g2,g2,0,no regulation
g2,g3,0,no regulation
g2,g1,0,no regulation
g2,g5,0,no regulation
g2,g6,0,no regulation
g2,g7,0,no regulation
g3,g2,0,no regulation
g3,g4,0,no regulation
g3,g1,0,no regulation
g3,g5,0,no regulation
g3,g6,0,no regulation
g3,g7,0,no regulation
g3,g8,0,no regulation
g4,g3,0,no regulation
g4,g1,0,no regulation
g4,g6,0,no regulation
g1,g3,0,no regulation
g1,g6,0,no regulation
g5,g3,0,no regulation
g5,g6,0,no regulation
g6,g3,0,no regulation
g6,g1,0,no regulation
g6,g6,0,no regulation
g6,g8,0,no regulation
g7,g2,0,no regulation
g7,g3,0,no regulation
g7,g1,0,no regulation
g7,g5,0,no regulation
g7,g6,0,no regulation
g7,g7,0,no regulation
g8,g3,0,no regulation
