Gene1	Gene2	EdgeWeight
g5	g1	-0.1817148863427362
g6	g1	-0.136893305579852
g2	g3	0.1286262423240453
g4	g1	-0.1277489287760707
g1	g2	0.1100480356259974
g6	g2	-0.0812387070553613
g6	g3	0.0798427580851786
g5	g2	-0.0540142905992723
g6	g8	0.042819630306814
g7	g1	-0.0406883726075802
g4	g2	-0.0401277849074025
g3	g1	-0.0361488404374588
g7	g6	0.0354146811833006
g5	g8	0.033369753004052
g7	g8	0.030672666091264
g4	g8	0.0279575463388387
g2	g1	0.0249214080849409
g2	g8	0.023873268861265
g8	g2	0.0181503456236125
g6	g4	-0.0171479914658245
g5	g3	0.0165826684065017
g8	g1	0.0159004456942594
g7	g3	-0.015810497710367
g3	g2	-0.0136419414239753
g3	g8	-0.0124302477705532
g6	g5	-0.0122036109199516
g5	g4	-0.0098246587598683
g4	g3	-0.0095318870845769
g4	g5	-0.0090977116095195
g4	g6	-0.0089172364072078
g5	g6	-0.0086074456343972
g1	g8	0.0067841509317874
g1	g3	-0.0048696255514547
g3	g5	0.0043773529089696
g6	g7	0.0042354356962951
g3	g4	0.0042281507454831
g1	g4	-0.0039764629926509
g2	g5	-0.0026407387685044
g4	g7	0.0024392694826919
g7	g2	-0.0022545702186494
g8	g5	0.0020548976241839
g8	g3	-0.0017661557492639
g5	g7	-0.0013225274154714
g7	g5	-0.0011844910581093
g1	g6	-0.0008250875029366
g8	g6	0.0006645454403221
g1	g5	-0.0005951791788686
g2	g4	-0.0004912698223673
g8	g4	0.0003991073695031
g2	g6	0.0002653743528157
g3	g7	0.0002488158010541
g3	g6	-0.0001019834979517
g7	g4	-4.949940297216496e-05
g1	g7	-4.531038569992857e-05
g8	g7	-3.77025279239448e-05
g2	g7	1.486079448441428e-05
g8	g8	0.0
g2	g2	0.0
g3	g3	0.0
g4	g4	0.0
g5	g5	0.0
g6	g6	0.0
g7	g7	0.0
g1	g1	0.0
