Gene1	Gene2	Score
g8	g3	-0.54686173312813
g3	g8	-0.54686173312813
g8	g2	-0.474883698572705
g2	g8	-0.474883698572705
g8	g5	-0.404656789607019
g5	g8	-0.404656789607019
g3	g2	0.387408979458252
g2	g3	0.387408979458252
g1	g2	0.323297955744948
g2	g1	0.323297955744948
g8	g1	-0.317473650813429
g1	g8	-0.317473650813429
g6	g5	-0.273210816173121
g8	g6	0.267589128210131
g4	g6	0.25668942227373
g6	g8	0.25425347378611
g5	g6	-0.239354801627401
g1	g3	-0.237793971349074
g5	g2	-0.234548434998687
g2	g5	-0.234548434998687
g4	g5	-0.229937155902402
g4	g8	0.228470134746942
g8	g7	0.223470113114281
g1	g5	0.223018000197067
g5	g1	-0.221758631660283
g6	g3	0.215319359216506
g7	g8	0.211896984494251
g5	g4	-0.211247952012452
g5	g7	-0.210384236490122
g4	g1	0.208420819545815
g7	g1	-0.207781563641305
g3	g5	0.207056195920571
g4	g7	0.203897453827812
g7	g6	0.202520659335515
g4	g2	-0.202386095859897
g3	g6	0.200469729483813
g1	g6	0.19808292350877
g6	g1	0.196656696957147
g1	g4	0.192254772276258
g7	g5	0.190521032212269
g6	g2	-0.19040428797493
g8	g4	0.186911444435757
g3	g1	0.185446590649953
g7	g2	-0.180927905198767
g6	g4	0.174365824728915
g4	g3	0.171662257197481
g6	g7	0.169064533787854
g7	g4	0.167804807090389
g2	g6	0.165959176875081
g5	g3	-0.164829205854194
g1	g7	0.163251812661486
g3	g7	0.159924369219837
g3	g4	0.14781305172067
g2	g4	0.1426712780927
g7	g3	-0.135945863523795
g2	g7	0.13593716698131
