Gene1	Gene2	EdgeWeight
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g1	g1	1.0
g5	g5	1.0
g6	g6	1.0
g7	g7	1.0
g8	g8	1.0
g8	g3	-0.6646096507841321
g3	g8	-0.6646096507841321
g5	g8	-0.6200265293828621
g8	g5	-0.6200265293828621
g5	g3	-0.6037298824225911
g3	g5	-0.6037298824225911
g5	g2	-0.590403132959194
g2	g5	-0.590403132959194
g2	g8	-0.569215408121297
g8	g2	-0.569215408121297
g8	g1	-0.43422409542131296
g1	g8	-0.43422409542131296
g1	g5	-0.401646109667975
g5	g1	-0.401646109667975
g1	g3	-0.391731336169331
g3	g1	-0.391731336169331
g2	g3	-0.16736013420609802
g3	g2	-0.16736013420609802
g4	g8	0.13758711622488
g8	g4	0.13758711622488
g8	g7	0
g7	g8	0
g1	g4	0
g4	g1	0
g4	g3	0
g3	g4	0
g6	g8	0
g8	g6	0
g7	g6	0
g6	g7	0
g7	g4	0
g4	g7	0
g1	g7	0
g7	g1	0
g4	g6	0
g6	g4	0
g4	g5	0
g5	g4	0
g6	g3	0
g3	g6	0
g5	g7	0
g7	g5	0
g2	g6	0
g6	g2	0
g3	g7	0
g7	g3	0
g1	g2	0
g2	g1	0
g2	g7	0
g7	g2	0
g1	g6	0
g6	g1	0
g4	g2	0
g2	g4	0
g5	g6	0
g6	g5	0
