Gene1	Gene2	EdgeWeight
g8	g1	63
g5	g5	62
g4	g5	61
g8	g2	60
g1	g7	59
g5	g1	58
g5	g6	57
g1	g1	56
g6	g7	55
g8	g5	54
g1	g5	53
g8	g3	52
g2	g1	51
g4	g1	50
g2	g7	49
g2	g6	48
g6	g2	47
g6	g1	46
g6	g6	45
g5	g2	44
g3	g6	43
g7	g1	42
g3	g7	41
g2	g2	40
g4	g2	39
g7	g5	38
g7	g7	37
g8	g6	36
g3	g1	35
g8	g7	34
g2	g5	33
g3	g5	32
g6	g5	31
g7	g2	30
g4	g7	29
g6	g3	28
g1	g6	27
g7	g6	26
g7	g3	25
g4	g8	24
g1	g2	23
g3	g3	22
g1	g3	21
g4	g3	20
g1	g8	19
g3	g4	18
g5	g7	17
g5	g3	16
g4	g6	15
g5	g8	14
g2	g3	13
g3	g2	12
g2	g8	11
g6	g4	10
g7	g8	9
g3	g8	8
g7	g4	7
g2	g4	6
g8	g4	5
g5	g4	4
g4	g4	3
g8	g8	2
g6	g8	1
g1	g4	0
