Gene1	Gene2	corVal	pValue
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g1	g1	1	0
g5	g5	1	0
g6	g6	1	0
g7	g7	1	0
g8	g8	1	0
g5	g6	0.214112837463964	0.0023918214596683
g6	g5	0.214112837463964	0.0023918214596683
g5	g7	0.0559720976940046	0.432321466627056
g7	g5	0.0559720976940045	0.432321466627057
g8	g1	0.0546219315378499	0.443524390017122
g1	g8	0.0546219315378498	0.443524390017123
g8	g5	0.0467222471817357	0.512271838712559
g5	g8	0.0467222471817357	0.512271838712559
g8	g2	-0.0352281504827333	0.62132245178114
g2	g8	-0.0352281504827333	0.62132245178114
g2	g3	-0.0702490018697957	0.324152767183003
g3	g2	-0.0702490018697958	0.324152767183002
g7	g6	-0.0738533661890176	0.299883510717222
g6	g7	-0.0738533661890176	0.299883510717222
g1	g2	-0.106927442767127	0.132785468051203
g2	g1	-0.106927442767127	0.132785468051202
g8	g7	-0.111188748546317	0.117939465326908
g7	g8	-0.111188748546317	0.117939465326908
g7	g4	-0.129847786367284	0.0675592084117845
g4	g7	-0.129847786367284	0.0675592084117845
g6	g1	-0.135080226329444	0.057136561148482
g1	g6	-0.135080226329444	0.057136561148482
g2	g6	-0.150212827954074	0.0342009746836272
g6	g2	-0.150212827954074	0.0342009746836271
g3	g5	-0.151551465778738	0.032615376189707
g5	g3	-0.151551465778738	0.032615376189707
g5	g2	-0.153169612368645	0.030782515586351
g2	g5	-0.153169612368645	0.030782515586351
g1	g7	-0.15406493723463	0.0298066362957424
g7	g1	-0.15406493723463	0.0298066362957424
g4	g5	-0.159415005464509	0.0245086165575866
g5	g4	-0.159415005464509	0.0245086165575866
g2	g7	-0.160567215105397	0.0234801715587756
g7	g2	-0.160567215105397	0.0234801715587755
g4	g6	-0.170961536794801	0.0157646971289267
g6	g4	-0.170961536794801	0.0157646971289267
g5	g1	-0.178624839821767	0.0115937468638041
g1	g5	-0.178624839821767	0.011593746863804
g3	g6	-0.192739407751448	0.00638324307265953
g6	g3	-0.192739407751448	0.00638324307265952
g8	g6	-0.213274669361185	0.0024901787850298
g6	g8	-0.213274669361185	0.00249017878502979
g7	g3	-0.237309375886347	0.000738392618482431
g3	g7	-0.237309375886347	0.000738392618482431
g3	g8	-0.361068521276703	1.61242845418975e-07
g8	g3	-0.361068521276703	1.61242845418973e-07
g3	g1	-0.367471576149121	9.33812830828492e-08
g1	g3	-0.367471576149121	9.33812830828478e-08
g1	g4	-0.427999370467924	2.8690285213065e-10
g4	g1	-0.427999370467924	2.8690285213065e-10
g4	g2	-0.442222522132406	6.18074486736337e-11
g2	g4	-0.442222522132406	6.18074486736307e-11
g8	g4	-0.547834719646694	5.56164820758054e-17
g4	g8	-0.547834719646694	5.56164820758054e-17
g4	g3	-0.735753578294685	3.49193400540383e-35
g3	g4	-0.735753578294685	3.49193400540373e-35
