Gene1	Gene2	EdgeWeight
g2	g4	26.5826301414396
g3	g4	20.3251419578415
g5	g4	17.1763733004987
g8	g4	15.6383941686081
g5	g5	12.1383432901163
g7	g4	11.8144819210636
g3	g3	11.4671129894127
g2	g5	10.939212338710199
g2	g6	10.338310994935801
g2	g3	9.632223031712341
g3	g5	8.87961147014922
g1	g4	8.54936195341669
g5	g6	7.52794293337934
g8	g1	6.663653830624651
g6	g4	6.3900238421843305
g5	g2	6.26574059904199
g5	g3	6.20495585286021
g3	g6	6.1223300444077005
g7	g7	5.81377183764805
g7	g3	4.8797290384113206
g1	g1	4.07447839295249
g8	g2	4.01460250604006
g3	g2	3.95854914293979
g7	g5	3.9207081217689597
g7	g6	3.7050013427346005
g1	g6	3.4671018957010498
g1	g3	3.3999540296251203
g3	g7	3.2965328259750097
g6	g2	2.9530950486837297
g6	g6	2.88109920489128
g8	g3	2.58684972739483
g1	g5	2.5122918462712995
g5	g7	2.4537357758584397
g5	g1	2.4485255055191
g8	g7	2.0466889527874197
g1	g8	2.01912412441847
g6	g8	1.99803574169682
g6	g1	1.9844616872389702
g2	g7	1.9492256009978401
g8	g6	1.8561412873069598
g8	g8	1.4403812709180701
g2	g8	1.4276075968333302
g2	g1	1.2221972737934699
g7	g8	1.16861409964557
g8	g5	1.01183710824596
g6	g3	0.9500137466189079
g4	g1	0.947864631797934
g7	g2	0.7418143617841519
g1	g7	0.705866694336489
g3	g8	0.676699260494677
g4	g5	0.538558503753272
g4	g6	0.5336912173617849
g4	g4	0.5295138347563401
g6	g7	0.51224103125826
g4	g3	0.469325238953835
g6	g5	0.302763572692877
g7	g1	0.295922350178787
g3	g1	0.24789016181264498
g1	g2	0.129096589961878
g4	g2	0.110648921034254
g2	g2	0.10265442391159699
g5	g8	0.0791033027214989
g4	g7	0.0625996502105251
g4	g8	0.0582841464534066
