Gene1	Gene2	EdgeWeight
g6	g4	2.22254042881158
g2	g4	1.1977516083841397
g4	g4	1.0
g5	g8	0.9612341732253801
g6	g8	0.6345730066618521
g1	g4	0.6045861980836391
g1	g8	0.477475156061354
g3	g4	0.47444823957912297
g2	g8	0.279357653291865
g7	g8	0.263423452475149
g8	g8	0.219246591273732
g5	g7	0.0548291374887955
g8	g7	0.0386274827777407
g7	g7	0.0192086778461079
g6	g3	3.47526151945005e-34
g6	g2	2.88666564791191e-34
g6	g1	2.12918144177466e-34
g7	g5	1.73131655839246e-34
g4	g3	1.6713264599746697e-34
g6	g5	1.0274082593299e-34
g1	g3	6.28157610645306e-35
g1	g2	5.96416779927797e-35
g5	g2	5.82476743345593e-35
g7	g1	4.6770292214705995e-35
g2	g1	2.8431471796634394e-35
g5	g5	2.74458490543125e-35
g3	g2	1.21705388894443e-35
g5	g1	5.085191815842009e-36
g8	g2	2.89327496878673e-36
g2	g3	6.283522568937399e-37
g7	g6	0.0
g2	g6	0.0
g3	g6	0.0
g4	g6	0.0
g1	g6	0.0
g5	g6	0.0
g6	g6	0.0
g3	g7	0.0
g8	g6	0.0
g2	g7	0.0
g4	g7	0.0
g1	g7	0.0
g1	g5	0.0
g6	g7	0.0
g3	g8	0.0
g8	g5	0.0
g7	g2	0.0
g4	g5	0.0
g5	g4	0.0
g2	g2	0.0
g4	g2	0.0
g3	g3	0.0
g5	g3	0.0
g7	g3	0.0
g8	g3	0.0
g7	g4	0.0
g3	g5	0.0
g8	g4	0.0
g3	g1	0.0
g4	g1	0.0
g1	g1	0.0
g8	g1	0.0
g2	g5	0.0
g4	g8	0.0
