Parent	Type	Child	Weight	Probability	Score
T	+	T	0.079815	1.000000	0.131717
s	+	T	0.006178	0.573139	0.005843
S	+	T	0.053661	1.000000	0.088556
R3	+	T	0.004438	0.531011	0.003889
z	+	T	0.016379	0.851328	0.023011
Z	+	T	0.008454	0.677498	0.009452
R2	+	T	0.019399	0.937313	0.030008
E	+	T	0.032994	1.000000	0.054450
N	+	T	0.062443	1.000000	0.103048
T	+	s	0.008954	0.983586	0.014534
s	+	s	0.001285	0.474693	0.001007
S	+	s	0.012349	0.998201	0.020343
R3	+	s	0.004578	0.564882	0.004268
z	-	s	-0.000343	0.469887	-0.000266
Z	+	s	0.001470	0.475761	0.001154
R2	+	s	0.001445	0.478459	0.001141
E	+	s	0.007959	1.000000	0.013134
N	+	s	0.001936	0.468389	0.001496
T	+	S	0.076129	1.000000	0.125635
s	+	S	0.007724	0.595973	0.007597
S	+	S	0.056947	1.000000	0.093979
R3	+	S	0.005757	0.551180	0.005237
z	+	S	0.009879	0.643367	0.010489
Z	+	S	0.029068	0.991684	0.047572
R2	+	S	0.026354	0.975262	0.042415
E	+	S	0.031609	1.000000	0.052164
N	+	S	0.060647	1.000000	0.100085
T	+	R3	0.016463	0.999989	0.027169
s	+	R3	0.000184	0.466930	0.000141
S	+	R3	0.014263	0.999646	0.023530
R3	+	R3	0.000597	0.469443	0.000462
z	+	R3	0.000659	0.471265	0.000512
Z	+	R3	0.001097	0.470453	0.000851
R2	+	R3	0.001395	0.477832	0.001100
E	+	R3	0.009287	1.000000	0.015326
N	+	R3	0.015136	0.998574	0.024943
T	+	z	0.008199	0.982706	0.013297
s	+	z	0.000480	0.467780	0.000371
S	+	z	0.003179	0.533633	0.002799
R3	-	z	-0.000301	0.467954	-0.000232
z	-	z	-0.000640	0.471212	-0.000497
Z	-	z	-0.000290	0.463674	-0.000222
R2	+	z	0.002191	0.492695	0.001781
E	+	z	0.003031	0.001447	0.000007
N	+	z	0.005029	0.711016	0.005901
T	+	Z	0.022121	1.000000	0.036506
s	+	Z	0.004010	0.536203	0.003549
S	+	Z	0.020628	0.999999	0.034043
R3	+	Z	0.000025	0.467669	0.000019
z	+	Z	0.000846	0.472406	0.000659
Z	+	Z	0.005486	0.609572	0.005519
R2	+	Z	0.007409	0.677071	0.008278
E	+	Z	0.011156	1.000000	0.018411
N	+	Z	0.018655	0.999841	0.030782
T	+	R2	0.018229	0.999999	0.030084
s	+	R2	0.000922	0.470868	0.000716
S	+	R2	0.009739	0.982804	0.015796
R3	+	R2	0.002822	0.507771	0.002364
z	+	R2	0.001940	0.485727	0.001555
Z	+	R2	0.003512	0.531878	0.003082
R2	+	R2	0.003435	0.526013	0.002981
E	+	R2	0.009879	1.000000	0.016303
N	+	R2	0.006710	0.830460	0.009196
T	+	E	0.605955	1.000000	1.000000
s	+	E	0.129566	0.905491	0.193614
S	+	E	0.448026	1.000000	0.739371
R3	+	E	0.022510	0.501036	0.018612
z	+	E	0.151968	0.934354	0.234328
Z	+	E	0.211994	0.997138	0.348850
R2	+	E	0.142467	0.943829	0.221905
N	+	E	0.505237	1.000000	0.833786
T	+	N	0.059719	1.000000	0.098554
s	+	N	0.007252	0.619077	0.007409
S	+	N	0.043583	1.000000	0.071924
R3	+	N	0.012442	0.810002	0.016632
z	+	N	0.007389	0.611750	0.007459
Z	+	N	0.014766	0.896261	0.021841
R2	+	N	0.009008	0.695642	0.010341
E	+	N	0.024504	1.000000	0.040438
N	+	N	0.045049	1.000000	0.074344
