Gene1	Gene2	EdgeWeight
R3	E	1.0
s	E	0.9896859540626851
z	E	0.932041319514173
Z	E	0.845841029483614
z	Z	0.600640923766546
z	T	0.5941348116727281
T	E	0.5873393285418089
R3	T	0.541734140775162
R3	Z	0.479181769391429
S	Z	0.42748786474158
z	s	0.41415411496054605
N	T	0.40187231675358204
S	T	0.368889996332629
R3	s	0.3652527832623039
s	T	0.35522972554764004
R3	N	0.35438648358694397
N	Z	0.34624380553735906
S	s	0.333615314078877
S	E	0.331232997226937
R2	T	0.32208905023425
s	N	0.3144324671243
R3	R3	0.302699690309027
z	N	0.300766248765886
R2	N	0.29427328504468
z	R3	0.29285545929328
T	T	0.27825115284305296
z	R2	0.26768652835226303
T	Z	0.267137614993759
R3	R2	0.26701270579668895
E	s	0.24143695632373002
s	Z	0.22801683043014
s	R3	0.227960169214654
N	N	0.224461605575242
N	E	0.22209807623122801
Z	T	0.21924165931323
Z	N	0.21750176615498898
S	R2	0.216181470486429
T	s	0.20318954880138895
T	N	0.199542014703903
N	R3	0.199006480195839
Z	R2	0.19371621589834304
E	Z	0.18942619807793398
Z	Z	0.18791541228259
N	s	0.182959265025897
T	R2	0.182882493309871
R2	R3	0.18019010580048103
S	N	0.174829206658263
E	R2	0.172554064444157
E	T	0.17036258169929097
R2	E	0.167224512940754
s	R2	0.166851416888519
Z	s	0.16607765455564902
S	R3	0.15989732615991598
s	s	0.15731708406762804
R2	Z	0.1557903339219
E	N	0.14660199873916502
N	R2	0.134927995898107
T	R3	0.12931659383538
R2	S	0.115113093649595
Z	R3	0.10921565542888001
E	R3	0.107362514358615
R2	R2	0.0983247894788178
s	S	0.0973142645968001
R3	S	0.0962735310718536
R2	z	0.0951984602678949
R3	z	0.094527452899786
s	z	0.0886072932258581
z	S	0.0883228186540797
N	S	0.086551276489485
z	z	0.0841065051750224
N	z	0.073386326055305
T	S	0.0474855070808797
Z	S	0.0461454854026741
T	z	0.0448065552899305
Z	z	0.0429823716867856
S	z	0.0370560849523884
S	S	0.0326968988087625
R2	s	0.0266484243854874
E	z	0.0177009750741101
E	S	0.005005635824519079
E	E	0.0
