Gene1	Gene2	EdgeWeight
R3	S	-0.0975605584704143
R3	E	0.0613187871401716
R2	T	-0.0427342966550253
z	E	-0.0425548410367578
R2	E	0.0390122323273252
T	E	0.0330165130409839
s	S	0.0312448318341733
S	N	0.019106302436459
R2	Z	-0.0185817641041719
N	E	0.0169802331094665
R3	N	-0.0141718485683582
z	Z	0.009968277800623
Z	E	0.0089558516688342
S	E	-0.0081406053423923
T	S	-0.0063319346117811
s	E	-0.0057969900842168
s	N	0.0049000935602492
R2	N	-0.0045128479029841
R2	s	-0.0043174401696282
R3	R2	0.0032010070493762
R3	z	-0.0026520578102351
s	R2	0.0024765506771613
R2	R3	-0.002473167104289
N	T	-0.0023311916874186
T	z	0.002174924519282
E	N	-0.0020165248687004
N	S	0.0019404740305882
R3	T	0.0016469533942882
N	R2	0.0015684942199216
E	S	-0.0015409018381018
N	Z	0.0015249412026648
z	R2	0.0014799126048277
R2	S	-0.0014231595349864
S	Z	0.0013795629979189
s	Z	0.0013304637024856
S	z	0.0012171179958018
T	Z	0.0010257092020837
E	T	0.0009864368788307
S	R2	0.000982795115282
E	z	-0.0009820637264391
z	N	0.0009676341567751
R3	s	0.0009500542595923
T	s	0.0009284582926379
T	R2	-0.0009209950533311
S	R3	-0.0008375157464367
Z	s	-0.0008131590845055
N	z	0.0007643388757241
s	T	0.0007142575521255
R2	z	0.000639749484525
E	s	0.0006350238218877
z	s	-0.0005906623555194
T	N	0.0005703989408125
N	R3	-0.0005476545721473
Z	N	0.0005251607391183
Z	R2	-0.00048423611971
T	R3	-0.0004412358042923
z	T	0.0003392744981289
R3	Z	-0.0003383835807085
s	z	0.0003314227410865
Z	S	-0.0002709916764529
S	s	0.0002372384803579
N	s	-0.0002289177332826
Z	z	0.0002116768660824
Z	R3	-0.0002104667222294
E	R3	-0.0001659348274203
Z	T	-0.0001220145044817
z	S	8.628685439785464e-05
z	R3	6.847173979362202e-05
E	R2	5.073096270756967e-05
S	T	-3.3634620728412874e-05
E	Z	3.1246323975301155e-05
s	R3	1.8271233511080828e-05
N	N	0.0
z	z	0.0
s	s	0.0
S	S	0.0
R3	R3	0.0
Z	Z	0.0
R2	R2	0.0
E	E	0.0
T	T	0.0
