TF	target	importance
Z	T	182.25527185701316
T	Z	157.59961752576245
S	N	75.66644225568758
S	s	72.14059741447775
S	E	63.50481535529227
T	E	57.40110612554177
T	N	52.64870441854362
N	Z	51.89712931520661
z	Z	50.23429090953447
Z	s	50.157513229438806
N	T	49.976501426178814
s	N	44.26874783145707
N	s	43.413516827841455
z	R2	42.693189809069324
R2	E	41.21777359047493
T	s	40.89738784616545
R2	Z	40.81980627487823
s	S	39.834264556435464
s	T	38.47718698742544
R3	s	37.777235487504406
E	T	35.85789542554613
E	N	35.11563881962475
N	E	34.77811766993208
Z	N	34.51326151577845
s	Z	34.13214916169963
E	s	32.7872249693648
E	Z	31.783558225887383
E	R2	31.666947564495715
R2	T	31.440158564392757
s	E	31.068530561447098
R3	T	30.973142862279133
S	T	30.917401926467765
s	R2	30.325505502507212
R2	s	30.230641956555008
N	R2	28.925685062129638
z	s	28.5958822686523
z	N	27.342602872823445
S	Z	27.32256677259172
R3	E	27.060739276839964
Z	R2	26.54400790865194
z	E	26.047932976761007
Z	E	25.92098444371088
R2	N	25.73592675566758
T	R2	25.15040358526032
z	T	23.10244095069675
R2	z	22.884839401458397
N	S	22.111811468204742
E	S	21.94407154410549
R3	R2	21.8304585706579
R3	Z	21.210881814439468
S	R2	20.863801997227974
Z	z	19.959596417577416
R3	N	19.708675530417487
T	S	18.487895795011266
E	z	18.21178777088055
Z	S	17.57260468724705
N	z	15.6608667689698
R2	S	15.577519736336878
S	z	15.289170758398662
Z	R3	15.089075327674067
s	R3	15.02842100105664
s	z	14.909727235039394
z	S	14.349386292320482
R2	R3	14.146416473235679
R3	S	13.122445920338647
S	R3	11.84463003516029
R3	z	11.813316070675123
z	R3	11.551833034063819
T	z	11.270695577000655
N	R3	9.845798965778524
E	R3	9.245410079154857
T	R3	8.248415083876132
