Parent	Type	Child	Weight	Probability	Score
T	+	T	0.060886	1.000000	0.105191
s	+	T	0.003477	0.501727	0.003014
S	+	T	0.020308	1.000000	0.035086
R3	-	T	-0.000856	0.470826	-0.000697
z	+	T	0.002710	0.489022	0.002290
Z	+	T	0.020302	0.988241	0.034662
R2	+	T	0.010197	0.715393	0.012603
E	+	T	0.036988	1.000000	0.063904
N	+	T	0.032728	1.000000	0.056543
T	+	s	0.006473	0.896570	0.010026
s	-	s	-0.000586	0.467004	-0.000473
S	+	s	0.002347	0.028261	0.000115
R3	-	s	-0.000786	0.471376	-0.000640
z	+	s	0.000913	0.471524	0.000744
Z	+	s	0.003105	0.523584	0.002809
R2	-	s	-0.001569	0.480787	-0.001304
E	+	s	0.006038	0.997878	0.010410
N	+	s	0.008138	1.000000	0.014059
T	+	S	0.578811	1.000000	1.000000
s	+	S	0.003412	0.465976	0.002746
S	+	S	0.260409	1.000000	0.449902
R3	+	S	0.005166	0.469937	0.004194
z	+	S	0.012240	0.475113	0.010047
Z	+	S	0.299970	0.999995	0.518249
R2	+	S	0.160137	0.948854	0.262515
E	+	S	0.314679	1.000000	0.543664
N	+	S	0.254374	1.000000	0.439476
T	+	R3	0.001106	0.411589	0.000786
s	-	R3	-0.001462	0.475622	-0.001202
S	+	R3	0.000152	0.104556	0.000027
R3	+	R3	0.001661	0.480744	0.001379
z	+	R3	0.002203	0.489685	0.001864
Z	+	R3	0.000651	0.450505	0.000506
R2	-	R3	-0.000594	0.468974	-0.000481
E	+	R3	0.001334	0.152738	0.000352
N	+	R3	0.002358	0.503232	0.002050
T	+	z	0.005702	0.852393	0.008397
s	-	z	-0.000536	0.466742	-0.000432
S	+	z	0.002193	0.048244	0.000183
R3	+	z	0.001920	0.484595	0.001607
z	+	z	0.002479	0.495135	0.002121
Z	+	z	0.002773	0.511023	0.002449
R2	+	z	0.000772	0.470666	0.000628
E	+	z	0.005397	0.998127	0.009308
N	+	z	0.004184	0.795159	0.005748
T	+	Z	0.028416	1.000000	0.049094
s	-	Z	-0.000301	0.465752	-0.000242
S	+	Z	0.009379	0.999974	0.016203
R3	+	Z	0.003608	0.515581	0.003214
z	+	Z	0.003027	0.503037	0.002630
Z	+	Z	0.010941	0.894473	0.016908
R2	-	Z	-0.000648	0.469859	-0.000526
E	+	Z	0.018328	1.000000	0.031664
N	+	Z	0.014977	1.000000	0.025876
T	+	R2	0.014194	0.999862	0.024519
s	+	R2	0.000773	0.468099	0.000625
S	+	R2	0.004123	0.016357	0.000117
R3	-	R2	-0.001827	0.483224	-0.001525
z	+	R2	0.000140	0.467879	0.000113
Z	+	R2	0.003889	0.564402	0.003792
R2	+	R2	0.003044	0.514004	0.002703
E	+	R2	0.010051	1.000000	0.017365
N	+	R2	0.007730	0.999999	0.013356
T	+	E	0.301004	1.000000	0.520039
s	+	E	0.010360	0.490230	0.008774
S	+	E	0.099710	1.000000	0.172267
R3	+	E	0.003338	0.471076	0.002717
z	+	E	0.002364	0.469052	0.001915
Z	+	E	0.197052	1.000000	0.340442
R2	+	E	0.088489	0.977785	0.149484
E	+	E	0.183567	1.000000	0.317144
N	+	E	0.162511	1.000000	0.280767
T	+	N	0.441858	1.000000	0.763388
s	+	N	0.033146	0.587197	0.033626
S	+	N	0.112049	1.000000	0.193584
R3	+	N	0.011351	0.483667	0.009485
z	+	N	0.013666	0.490260	0.011575
Z	+	N	0.246195	1.000000	0.425345
R2	+	N	0.080599	0.886709	0.123474
E	+	N	0.245975	1.000000	0.424965
N	+	N	0.235226	1.000000	0.406394
