Gene1	Gene2	EdgeWeight
T	T	1.0
T	S	1.0
E	S	1.0
N	S	1.0
T	Z	1.0
E	Z	1.0
N	Z	1.0
E	R2	1.0
T	E	1.0
S	E	1.0
Z	E	1.0
E	E	1.0
N	E	1.0
T	N	1.0
S	N	1.0
Z	N	1.0
E	N	1.0
S	S	1.0
N	N	1.0
S	T	1.0
N	s	1.0
E	T	1.0
N	T	1.0
N	R2	0.999999
Z	S	0.9999950000000001
S	Z	0.999974
T	R2	0.999862
E	z	0.9981270000000001
E	s	0.997878
Z	T	0.988241
R2	E	0.977785
R2	S	0.9488540000000001
T	s	0.8965700000000001
Z	Z	0.894473
R2	N	0.886709
T	z	0.8523930000000001
N	z	0.7951590000000001
R2	T	0.7153930000000001
s	N	0.5871970000000001
Z	R2	0.5644020000000001
Z	s	0.523584
R3	Z	0.5155810000000001
R2	R2	0.514004
Z	z	0.511023
N	R3	0.503232
z	Z	0.503037
s	T	0.501727
z	z	0.49513500000000005
z	N	0.49026000000000003
s	E	0.49023
z	R3	0.48968500000000004
z	T	0.489022
R3	z	0.484595
R3	N	0.483667
R3	R2	0.483224
R2	s	0.48078699999999996
R3	R3	0.48074399999999995
s	R3	0.47562200000000004
z	S	0.475113
z	s	0.471524
R3	s	0.471376
R3	E	0.471076
R3	T	0.470826
R2	z	0.470666
R3	S	0.469937
R2	Z	0.469859
z	E	0.469052
R2	R3	0.468974
s	R2	0.468099
z	R2	0.467879
s	s	0.467004
s	z	0.466742
s	S	0.465976
s	Z	0.46575200000000005
Z	R3	0.45050500000000004
T	R3	0.41158900000000004
E	R3	0.152738
S	R3	0.104556
S	z	0.048244
S	s	0.028261
S	R2	0.016357
