Gene1	Gene2	EdgeWeight
Z	T	0.17717960974007801
T	Z	0.17717960974007801
N	E	0.11029617935351599
E	N	0.11029617935351599
N	S	0.0998587940897115
S	N	0.0810766414657158
Z	s	0.0692547378568726
s	Z	0.0692547378568726
S	T	0.0633633109176373
s	S	0.0591485887918789
S	s	0.0591485887918789
R3	T	0.0578579316224256
S	E	0.0567214684735758
E	S	0.0563454744890987
z	N	0.0561496215952229
T	R2	0.0559558868078987
z	S	0.0541956462561355
E	z	0.0540509282947931
S	Z	0.0539212072475234
N	T	0.0538501063317641
R2	z	0.0536974989139293
z	R2	0.0536974989139293
N	z	0.0534924729093447
R3	s	0.0532791695569321
R2	S	0.0527398284190292
z	T	0.0521881003288274
Z	E	0.0517668882640645
T	N	0.0515122153726096
Z	S	0.0514385464098325
Z	N	0.0513933206110994
S	z	0.0508924083146979
S	R2	0.050839128192971
R2	N	0.0508147334962104
N	R3	0.0501933465127572
N	Z	0.0498077839309538
R3	Z	0.049173329791165
T	E	0.0491069043072237
R2	T	0.0488344418306555
s	z	0.0487839141546494
R3	z	0.048628733893377
s	R2	0.0482403126881037
T	R3	0.0479784219538936
Z	z	0.0476391994102421
E	R3	0.0476263205242215
R3	E	0.0468810665040749
Z	R2	0.0465770000323899
R2	E	0.046274030205816996
Z	R3	0.0460369540457364
z	Z	0.045780982028417995
s	E	0.045752031562379
T	S	0.0457149315153715
E	T	0.0453885178760091
R3	R2	0.0452149300654185
S	R3	0.045081770064003004
R2	s	0.0449504119861501
s	N	0.0449020379945274
R2	R3	0.0444353312720697
N	R2	0.0442516841961564
T	s	0.0441823266563641
N	s	0.043410851803603
s	T	0.0433255273663107
R2	Z	0.0432876856443715
z	s	0.0429303328103191
R3	S	0.0427507235574551
E	s	0.0419451412886653
E	Z	0.0417617128428297
E	R2	0.0416590368261614
z	E	0.0413035362622012
s	R3	0.04119364424485201
T	z	0.0392964459155627
R3	N	0.0387096022702554
z	R3	0.038558511735139
