Gene1	Gene2	EdgeWeight
T	Z	1.9730439295064228
Z	T	1.9730439295064228
S	E	1.9226147368430115
E	S	1.9226147368430115
s	R3	1.8288385958256432
R3	s	1.8288385958256432
S	N	1.773064023078629
N	S	1.773064023078629
R3	z	1.7165255298535942
z	R3	1.7165255298535942
R2	N	1.6934757229091069
N	R2	1.6934757229091069
s	z	1.6723395298488448
z	s	1.6723395298488448
z	N	1.6187042946087185
N	z	1.6187042946087185
R3	R2	1.591314722522155
R2	R3	1.591314722522155
T	E	1.517632508190618
E	T	1.517632508190618
z	Z	1.4446491616577424
Z	z	1.4446491616577424
s	S	1.397889835510811
S	s	1.397889835510811
R3	E	1.2960400634091578
E	R3	1.2960400634091578
Z	R2	1.2803147562544552
R2	Z	1.2803147562544552
z	E	1.2661714538391255
E	z	1.2661714538391255
s	R2	1.1538111868984138
R2	s	1.1538111868984138
E	N	1.0149552304095142
N	E	1.0149552304095142
R3	Z	0.9723262614759608
Z	R3	0.9723262614759608
R2	E	0.9361866070937694
E	R2	0.9361866070937694
T	S	0.9248744357516844
S	T	0.9248744357516844
T	N	0.7615969924024129
N	T	0.7615969924024129
s	N	0.7077127452244152
N	s	0.7077127452244152
Z	N	0.691233504662635
N	Z	0.691233504662635
T	s	0.6896461803662561
s	T	0.6896461803662561
s	E	0.5955880396806841
E	s	0.5955880396806841
z	R2	0.5000394503758709
R2	z	0.5000394503758709
T	R3	0.4764774211800625
R3	T	0.4764774211800625
S	R3	0.43459445574941785
R3	S	0.43459445574941785
T	R2	0.3583215849803245
R2	T	0.3583215849803245
Z	E	0.3416797739105528
E	Z	0.3416797739105528
s	Z	0.31792122639619896
Z	s	0.31792122639619896
T	z	0.2535971453719797
z	T	0.2535971453719797
S	z	0.24730634120495126
z	S	0.24730634120495126
S	R2	0.21664055530899076
R2	S	0.21664055530899076
R3	N	0.16780790229880854
N	R3	0.16780790229880854
S	Z	0.126749606719213
Z	S	0.126749606719213
