Gene1	Gene2	corVal	pValue
T	T	1	0
s	s	1	0
S	S	1	0
R3	R3	1	0
z	z	1	0
Z	Z	1	0
R2	R2	1	0
E	E	1	0
N	N	1	0
T	Z	0.138680787082224	1.59468958099605e-44
Z	T	0.138680787082224	1.59468958099607e-44
s	S	0.0632189234104481	2.06008777308221e-10
S	s	0.0632189234104481	2.06008777308224e-10
R2	z	0.046532358772534	2.91418041485993e-06
z	R2	0.046532358772534	2.91418041485993e-06
R2	E	0.0368483993548718	0.000213288741179934
E	R2	0.0368483993548718	0.000213288741179935
s	N	0.0265276045921946	0.00769411405402947
N	s	0.0265276045921946	0.00769411405402948
z	N	0.0260124658049183	0.00896376842270344
N	z	0.0260124658049183	0.00896376842270345
s	R3	0.0226087999360886	0.0231241208591127
R3	s	0.0226087999360886	0.0231241208591127
R3	E	0.0203180290247093	0.0412322639232466
E	R3	0.0203180290247093	0.0412322639232466
Z	z	0.0194225648660346	0.0510321362719401
z	Z	0.0194225648660346	0.0510321362719401
z	R3	0.0152910758118397	0.124513609081323
R3	z	0.0152910758118397	0.124513609081323
T	E	0.013604086040877	0.171746382152658
E	T	0.013604086040877	0.171746382152658
E	s	0.0135556078110736	0.173278867051908
s	E	0.0135556078110736	0.173278867051908
R2	S	0.01249911036771	0.209259874640219
S	R2	0.01249911036771	0.209259874640219
N	R3	0.0115490860551552	0.245983064832244
R3	N	0.0115490860551552	0.245983064832244
N	S	0.00963964121437097	0.332875227559637
S	N	0.00963964121437097	0.332875227559637
N	E	0.00823358849408056	0.40818595246961
E	N	0.00823358849408056	0.40818595246961
Z	R3	0.00818705014798606	0.410840692243872
R3	Z	0.00818705014798606	0.410840692243872
E	z	0.00508142567474752	0.609743219152465
z	E	0.00508142567474752	0.609743219152465
z	s	0.00488778993834673	0.623434460955416
s	z	0.00488778993834673	0.623434460955416
R2	R3	0.00273832883660486	0.783262687976009
R3	R2	0.00273832883660486	0.783262687976009
R2	Z	0.00259526152852578	0.794325174974723
Z	R2	0.00259526152852578	0.794325174974723
T	s	0.00151566897344996	0.878988749485722
s	T	0.00151566897344996	0.878988749485722
T	R3	0.00110752859906802	0.91141578636053
R3	T	0.00110752859906802	0.91141578636053
z	T	0.000860862006714457	0.931088924561058
T	z	0.000860862006714456	0.931088924561058
R2	N	-0.00339013010275789	0.733446465958303
N	R2	-0.00339013010275789	0.733446465958303
Z	S	-0.00417530674065538	0.674910983236245
S	Z	-0.00417530674065538	0.674910983236245
s	R2	-0.00473357242940185	0.634432753895279
R2	s	-0.00473357242940186	0.634432753895278
E	Z	-0.0049383094777913	0.61984959289124
Z	E	-0.00493830947779131	0.61984959289124
z	S	-0.00682718383861082	0.492833737722041
S	z	-0.00682718383861082	0.492833737722041
S	T	-0.0135043297942373	0.174910955240234
T	S	-0.0135043297942373	0.174910955240234
S	R3	-0.0178512133235298	0.0729211805471631
R3	S	-0.0178512133235298	0.0729211805471631
E	S	-0.0178611381965016	0.0727619636263962
S	E	-0.0178611381965016	0.0727619636263962
N	Z	-0.0317545054060654	0.00141981803622096
Z	N	-0.0317545054060654	0.00141981803622096
T	R2	-0.0328913836502929	0.000950162838773484
R2	T	-0.0328913836502929	0.000950162838773478
Z	s	-0.0534399947856127	7.78831396389963e-08
s	Z	-0.0534399947856127	7.78831396389962e-08
T	N	-0.0589154387866668	3.15566884907866e-09
N	T	-0.0589154387866669	3.15566884907866e-09
