Gene1	Gene2	EdgeWeight
S	N	0.0855162724863217
N	S	0.055670247181879004
N	E	0.0375486475240417
E	N	0.0339013848670714
E	S	0.0325457276288049
E	z	0.0320144704063706
s	R3	0.0304534912288446
S	E	0.0299494539921966
T	N	0.0290189320827458
E	s	0.0281804383993725
R3	T	0.0281576557239944
N	z	0.0275271277601878
S	T	0.0266649449141766
T	E	0.0265457010933766
Z	s	0.0264510911504942
T	z	0.0262936995292783
z	s	0.0249696798229477
E	T	0.0246662306332426
T	s	0.0240193476254733
z	T	0.0236343821417131
s	E	0.0235755044112607
s	T	0.0235464805150091
Z	S	0.0235352816562924
E	R3	0.0235335198566326
N	T	0.0230378556781633
Z	E	0.0226845024117503
T	S	0.0225808983421627
R2	s	0.0224960209636675
z	E	0.0222794743623042
s	S	0.0221065103731056
Z	N	0.0220054197954214
R2	N	0.0216521830967021
R2	S	0.0212676530852482
Z	z	0.0212327912898415
s	N	0.0201411951974571
R2	E	0.0200279316297391
S	s	0.0200078199871667
N	R3	0.0198943589426192
R3	s	0.0197911193065243
R3	N	0.0194417777893525
R3	Z	0.0194281019222971
N	s	0.0193868412117351
Z	T	0.0193402020949483
N	R2	0.0192385093556749
R2	z	0.0190482988736413
z	S	0.0183612045777488
N	Z	0.0183314351813906
s	z	0.0183116988075619
R3	S	0.0182361685435027
R2	T	0.0181424208355702
z	R2	0.0180850963933753
R3	E	0.0173412372042975
Z	R3	0.0172505416556163
R3	R2	0.0164558704167344
z	N	0.015113673490976998
S	z	0.0146100895051632
s	R2	0.014473749504078998
T	Z	0.0142885089855882
Z	R2	0.0139127426478624
T	R2	0.0138709983695632
R2	R3	0.0130985949028177
s	Z	0.0129574070124699
E	Z	0.0129459400203356
E	R2	0.012595664976983001
R3	z	0.011596685117823
S	R2	0.0112590203816585
z	Z	0.0107617826153371
R2	Z	0.0106312921968854
S	R3	0.0105836451607777
z	R3	0.00921682334663335
T	R3	0.00818235113283804
S	Z	0.0036571234862346202
