Gene1	Gene2	EdgeWeight
R2	S	1.0
R2	N	0.8071285286472191
T	S	0.792794406635906
T	N	0.5543874703489889
s	N	0.46071103143352005
s	S	0.39447193932796704
R3	S	0.378984292733865
N	N	0.364824734599584
R2	s	0.362127580626291
T	s	0.34569618585647904
Z	z	0.273288668108525
R3	N	0.269743725793269
N	S	0.24701293270035396
Z	S	0.246678956148334
R2	z	0.23128172737711103
R3	z	0.23091458196934397
E	s	0.163351777359538
T	z	0.16178614318935097
E	N	0.153544971406737
s	s	0.14903909297231302
N	s	0.11695216334506199
N	z	0.0354168803949035
Z	N	0.0140239670396284
S	S	0.010551002502045
R3	Z	0.008262778239948691
s	Z	0.0061811657158787605
R2	Z	0.0052360516677479
s	R3	0.00440074686570196
N	Z	0.00396227180987539
R2	R3	0.00351835148223675
T	Z	0.00340916802251109
T	R2	0.00280483169167587
N	R3	0.0024043283342971397
S	s	0.00230140957840342
T	R3	0.0022516281438817102
R3	R3	0.0021045526632145397
R2	R2	0.0019881820176556302
N	R2	0.00169856435977397
Z	Z	0.0013260158360618
s	R2	0.0010803070822804199
S	R3	0.00046079833160590593
Z	R3	7.972398526054471e-05
Z	R2	3.44728027587893e-05
T	T	1.6814579566353e-36
T	E	1.5305367351565498e-36
R2	E	1.4689526508402099e-36
N	T	1.27374910192479e-36
R2	T	1.2016477521229198e-36
Z	E	9.95376210495832e-37
Z	T	9.388786991886519e-37
R3	T	8.343539712306668e-37
E	T	3.7418159731945897e-37
R3	E	2.3030530899392e-37
N	E	1.3751562866208e-37
z	R2	0.0
z	Z	0.0
E	Z	0.0
S	R2	0.0
R3	R2	0.0
S	N	0.0
E	R2	0.0
s	E	0.0
S	E	0.0
z	E	0.0
E	E	0.0
E	z	0.0
S	Z	0.0
E	S	0.0
z	z	0.0
S	z	0.0
s	z	0.0
E	R3	0.0
z	R3	0.0
z	S	0.0
Z	s	0.0
z	s	0.0
R3	s	0.0
z	T	0.0
S	T	0.0
s	T	0.0
z	N	0.0
