Gene1	Gene2	EdgeWeight
N	T	0.14858900328527072
T	N	0.1468839716694304
Z	N	0.14581432600178645
Z	T	0.14414409665676306
Z	S	0.14385169271861306
N	Z	0.1427348742325648
S	T	0.14163539247656956
N	S	0.14105014972645571
S	Z	0.13914041869330934
T	Z	0.13889231560727505
T	S	0.137715087217969
S	N	0.13738480307270468
Z	E	0.13730000301347114
S	z	0.13411881567676154
Z	R2	0.1308057120737722
Z	R3	0.13076710393780916
R3	R2	0.13014681938638806
S	R2	0.12971129093694989
Z	s	0.12927681791128512
T	s	0.12908118517642395
N	E	0.1286115220484033
N	R3	0.1284652645645547
S	s	0.1278746598903864
S	E	0.12771569097821753
N	s	0.1276285816029086
T	E	0.1275580737676063
R2	R3	0.12749336168319125
N	z	0.12697783263546006
S	R3	0.1269513931384457
s	z	0.1267281385131125
z	s	0.12640514777571024
N	R2	0.1263943004676198
T	R3	0.12579742007907652
T	z	0.12545476886108264
Z	z	0.12490717980211202
E	Z	0.12422978134749255
T	R2	0.12313953793911435
z	R3	0.12275485297783392
R3	z	0.12134010928091843
z	R2	0.1211804233060945
E	s	0.12089293692251647
R3	E	0.120644290332398
R2	z	0.12053371151123808
R3	s	0.11994837973531937
E	z	0.11993944371931473
R2	E	0.11961864101650177
s	R2	0.11955754203561107
s	E	0.11949770163130635
E	R3	0.11947916388003332
E	R2	0.11906437385445018
z	E	0.11905407721209572
R2	s	0.11889229098544968
s	R3	0.1182914397390556
z	S	0.11820429861011095
E	N	0.1161298168538359
E	S	0.1156236367980017
s	S	0.11545981883499355
s	T	0.1151176069550912
R3	Z	0.11488612030887517
E	T	0.11461820273112892
R2	S	0.11421268520516528
R2	Z	0.11418495572543025
R3	S	0.11388263088869087
s	N	0.11382296210317225
z	N	0.11341181607924578
R2	N	0.11334547803120942
R3	N	0.11320682618861524
z	Z	0.11296677786296985
s	Z	0.11296475622208292
R2	T	0.1126357917034087
R3	T	0.11190431809008416
z	T	0.11135558810168382
