Parent	Type	Child	Weight	Probability	Score
T	+	T	0.208791	1.000000	0.193293
s	+	T	0.363570	1.000000	0.336583
S	+	T	0.107381	1.000000	0.099410
R3	+	T	0.013022	0.480190	0.005789
z	+	T	0.251451	0.999957	0.232777
Z	+	T	0.104569	1.000000	0.096808
R2	-	T	-0.012510	0.478237	-0.005539
E	+	T	0.463308	1.000000	0.428918
N	+	T	0.173189	1.000000	0.160334
T	+	s	0.008850	1.000000	0.008193
s	+	s	0.002561	0.509467	0.001208
S	+	s	0.002814	0.000005	0.000000
R3	+	s	0.002682	0.498001	0.001236
z	+	s	0.003656	0.544776	0.001844
Z	+	s	0.003234	0.000001	0.000000
R2	-	s	-0.000602	0.468487	-0.000261
E	+	s	0.003403	0.552948	0.001742
N	+	s	0.006364	1.000000	0.005892
T	+	S	0.431078	1.000000	0.399081
s	+	S	0.184516	0.758138	0.129505
S	+	S	0.493192	1.000000	0.456584
R3	+	S	0.012988	0.469299	0.005643
z	+	S	0.384759	0.969485	0.345330
Z	+	S	0.331416	1.000000	0.306816
R2	-	S	-0.308635	0.841345	-0.240394
E	+	S	0.322075	0.975966	0.291002
N	+	S	0.330609	1.000000	0.306069
T	+	R3	0.001513	0.136991	0.000192
s	+	R3	0.001612	0.480153	0.000717
S	+	R3	0.000627	0.037322	0.000022
R3	+	R3	0.001389	0.476352	0.000612
z	+	R3	0.000153	0.461642	0.000066
Z	-	R3	-0.000120	0.108424	-0.000012
R2	-	R3	-0.001440	0.475994	-0.000634
E	-	R3	-0.000746	0.452150	-0.000312
N	-	R3	-0.000622	0.144443	-0.000083
T	+	z	0.007094	1.000000	0.006567
s	+	z	0.002491	0.506845	0.001169
S	+	z	0.002944	0.000005	0.000000
R3	+	z	0.001428	0.476703	0.000630
z	+	z	0.004564	0.582988	0.002463
Z	+	z	0.002487	0.000029	0.000000
R2	-	z	-0.001521	0.476836	-0.000671
E	+	z	0.002547	0.510956	0.001205
N	+	z	0.006274	1.000000	0.005808
T	+	Z	0.574542	1.000000	0.531896
s	+	Z	0.682067	0.999343	0.631025
S	+	Z	0.404659	1.000000	0.374623
R3	+	Z	0.027027	0.472547	0.011824
z	+	Z	0.909373	0.999985	0.841860
Z	+	Z	0.368533	1.000000	0.341178
R2	-	Z	-0.008474	0.467380	-0.003667
E	+	Z	1.080178	1.000000	1.000000
N	+	Z	0.472318	1.000000	0.437260
T	+	R2	0.000308	0.090232	0.000026
s	+	R2	0.000019	0.426600	0.000007
S	-	R2	-0.000446	0.064696	-0.000027
R3	+	R2	0.000701	0.469912	0.000305
z	+	R2	0.001791	0.457204	0.000758
Z	+	R2	0.000225	0.095831	0.000020
R2	+	R2	0.002767	0.498944	0.001278
E	+	R2	0.002967	0.484778	0.001332
N	+	R2	0.000417	0.096582	0.000037
T	+	E	0.012799	1.000000	0.011849
s	+	E	0.005841	0.645535	0.003491
S	+	E	0.002820	0.000000	0.000000
R3	+	E	0.000935	0.471477	0.000408
z	+	E	0.008761	0.768151	0.006230
Z	+	E	0.004019	0.000000	0.000000
R2	+	E	0.001855	0.480573	0.000825
E	+	E	0.021335	0.998913	0.019730
N	+	E	0.010935	1.000000	0.010123
T	+	N	0.259800	1.000000	0.240516
s	+	N	0.369563	0.999998	0.342131
S	+	N	0.127517	1.000000	0.118052
R3	-	N	-0.040820	0.534624	-0.020203
z	+	N	0.330812	0.999973	0.306248
Z	+	N	0.135206	1.000000	0.125170
R2	+	N	0.003921	0.467620	0.001697
E	+	N	0.537748	1.000000	0.497833
N	+	N	0.233397	1.000000	0.216073
