Gene1	Gene2	EdgeWeight
S	Z	0.164648463086379
Z	S	0.15321083493402898
S	T	0.0882804767663969
T	S	0.0882804767663969
S	R2	0.0722278020539762
S	E	0.0715535338036984
z	R3	0.06567711943955
R3	z	0.06567711943955
T	N	0.0653306088982476
N	T	0.0653306088982476
S	z	0.0645980588365626
Z	R3	0.0643590194537998
R3	S	0.0626876268539397
R3	Z	0.0618843063282935
Z	T	0.0616014430883787
E	S	0.0614440095095508
R2	R3	0.0612458124960626
R3	R2	0.0612458124960626
Z	E	0.0601042135758917
E	Z	0.0601042135758917
R2	Z	0.0596555323987803
R2	S	0.0596173192589097
T	Z	0.0571513438865085
S	R3	0.0561015879998375
s	R3	0.0540353934229365
s	R2	0.0527159248984542
N	R3	0.0526996120233809
R3	N	0.0526996120233809
E	z	0.0514963804122191
Z	R2	0.0501946986590819
E	s	0.0497965655061342
s	N	0.04975007790873599
N	S	0.0491639159221285
E	R2	0.0490215945076259
z	E	0.0489285940286922
s	T	0.0488690157069201
E	R3	0.0487440323200129
R2	T	0.0487244697740156
Z	z	0.0486445960999344
R2	E	0.0480897157204349
S	s	0.0480894773384775
E	T	0.047839276777735
T	R2	0.0467987437354974
Z	s	0.0464447314645265
s	S	0.0464310709474752
T	s	0.0463528791085588
z	N	0.0458548299260455
s	E	0.0454847325408792
N	Z	0.0454708938711607
R3	E	0.0454195101694986
s	Z	0.0453888836323959
R2	z	0.0450751237412729
z	T	0.0449804145555932
N	s	0.0449153896259086
z	R2	0.0447914047802965
N	R2	0.0447909084057559
s	z	0.0447838427948179
R3	s	0.0447445940045536
S	N	0.0446831037540508
R3	T	0.0446046475993902
N	E	0.0438229237570401
z	s	0.0437931888746852
N	z	0.043612245920294
T	R3	0.0429350226357068
R2	N	0.0424597713662439
E	N	0.0424003285195213
T	z	0.042183475798707994
T	E	0.0410456390287223
R2	s	0.040982544445998005
Z	N	0.0402435284429748
z	Z	0.0395366313861306
z	S	0.0345929629608381
