Gene1	Gene2	EdgeWeight
T	T	1.0
s	s	1.0
S	S	1.0
R3	R3	1.0
z	z	1.0
Z	Z	1.0
R2	R2	1.0
E	E	1.0
N	N	1.0
E	Z	-0.09077050658045098
Z	E	-0.09077050658045098
S	Z	-0.0476868634796114
Z	S	-0.0476868634796114
T	N	0.0471143549277708
N	T	0.0471143549277708
S	E	-0.0416460131377122
E	S	-0.0416460131377121
N	R3	0.0412291586245448
R3	N	0.0412291586245448
R2	s	0.0386030724521728
s	R2	0.0386030724521728
N	s	-0.0380476030173839
s	N	-0.0380476030173839
s	R3	0.0365273266266395
R3	s	0.0365273266266395
E	s	-0.0357761828421752
s	E	-0.0357761828421752
R2	Z	-0.0319985373196058
Z	R2	-0.0319985373196058
R3	R2	-0.0287934776947485
R2	R3	-0.0287934776947485
R3	z	-0.025763201072198996
z	R3	-0.025763201072198996
E	z	0.0257334480836609
z	E	0.0257334480836609
T	R2	0
R2	T	0
Z	N	0
N	Z	0
z	S	0
S	z	0
R3	Z	0
Z	R3	0
z	s	0
s	z	0
T	S	0
S	T	0
R2	z	0
z	R2	0
E	R2	0
R2	E	0
s	T	0
T	s	0
z	T	0
T	z	0
s	S	0
S	s	0
R2	N	0
N	R2	0
E	T	0
T	E	0
N	z	0
z	N	0
Z	z	0
z	Z	0
N	E	0
E	N	0
R3	E	0
E	R3	0
S	R2	0
R2	S	0
T	Z	0
Z	T	0
N	S	0
S	N	0
R3	T	0
T	R3	0
R3	S	0
S	R3	0
s	Z	0
Z	s	0
