Gene1	Gene2	EdgeWeight
E	N	316
T	N	316
R2	N	308
z	N	308
Z	N	262
R3	N	252
S	N	236
s	N	232
s	z	18
N	Z	18
s	Z	18
N	z	18
Z	z	18
S	Z	15
S	z	15
R2	z	15
E	z	15
E	Z	15
R2	Z	15
R3	z	14
T	Z	14
R3	Z	14
T	z	14
z	S	7
z	s	7
T	s	7
T	S	7
N	s	7
N	S	7
z	Z	6
E	s	4
R3	s	4
S	s	4
R2	s	4
Z	s	4
R2	S	4
R3	S	4
Z	S	4
E	S	4
R2	T	0
E	T	0
N	T	0
s	S	0
N	E	0
N	R2	0
Z	T	0
z	T	0
R3	T	0
R2	E	0
Z	E	0
z	E	0
R3	E	0
S	E	0
s	E	0
T	E	0
Z	R2	0
E	R2	0
N	R3	0
z	R2	0
R3	R2	0
S	R2	0
s	R2	0
T	R2	0
T	R3	0
s	R3	0
S	R3	0
z	R3	0
Z	R3	0
R2	R3	0
E	R3	0
S	T	0
s	T	0
