Gene1	Gene2	EdgeWeight
s	R3	1.0
z	R3	0.870615187352756
E	R3	0.636156980478098
E	S	0.6347651588082421
s	S	0.59658066944537
s	N	0.5344237324937271
z	S	0.436048110173114
E	N	0.42864016863598897
z	N	0.387420132885185
R3	S	0.281121262155354
R3	R3	0.22447926015935998
Z	S	0.208163630461371
S	R3	0.15408092469820003
N	R3	0.153052647814638
Z	N	0.0652070570327476
R3	N	0.044373213882706
T	R3	0.0410324008827008
N	S	0.0396287452967798
s	z	0.0157101927362516
s	E	0.00977520881682398
N	N	0.00954395197342341
N	E	0.008153293691078641
N	z	0.0069433167293685
E	z	0.00475242551159998
z	E	0.00470702450941475
z	z	0.00462849191344357
E	E	0.00444917880108676
T	N	0.003360879217278
Z	z	0.000728367986462515
R3	Z	2.15722366926631e-35
E	Z	1.9268630695839103e-35
s	T	1.47621505582004e-35
z	Z	1.40542369716509e-35
s	s	7.79001004097404e-36
N	T	6.930119257059589e-36
E	s	5.74726140363332e-36
s	R2	5.3674664887084696e-36
z	s	4.2636137992611396e-36
R3	R2	4.10241794949144e-36
z	R2	3.25170631674511e-36
s	Z	2.92720793767521e-36
N	R2	2.6087789485003397e-36
E	R2	1.9024613228603498e-36
Z	T	1.8728671264771498e-36
R3	s	1.75690350081239e-36
z	T	1.6981275954038996e-36
Z	s	1.4610126064386999e-36
E	T	1.1400080432849398e-36
N	s	1.0852087378122399e-36
Z	Z	1.65233427516259e-37
R3	T	8.167291573859829e-38
R2	R2	0.0
R2	Z	0.0
N	Z	0.0
T	R2	0.0
S	R2	0.0
Z	R2	0.0
Z	E	0.0
T	E	0.0
S	E	0.0
R3	E	0.0
T	Z	0.0
R2	E	0.0
S	N	0.0
S	Z	0.0
R2	R3	0.0
R2	z	0.0
R3	z	0.0
S	z	0.0
T	z	0.0
Z	R3	0.0
R2	S	0.0
S	S	0.0
T	S	0.0
R2	s	0.0
S	s	0.0
T	s	0.0
R2	T	0.0
S	T	0.0
T	T	0.0
R2	N	0.0
