Gene1	Gene2	EdgeWeight
s	S	1.9915651858047465
z	Z	1.9270316953335311
R3	S	0.5261200731397306
R2	Z	0.2299761432937945
s	Z	0.2085576502335192
T	S	0.0913104153494519
S	Z	0.0659382468533395
N	Z	0.0604227407539407
N	S	0.0602644064714698
Z	S	0.0593546070090164
R2	S	0.0504928342833504
E	Z	0.0489514689941923
R2	T	0.0485278390984839
z	S	0.0359122284053086
E	N	0.0299399089608254
R2	N	0.0266747785521064
s	N	0.0261523045750937
z	T	0.0256473102015469
s	T	0.0185491903119992
E	T	0.0169450524462733
z	N	0.0162642595692701
T	N	0.0105218185040582
S	N	0.0104119891926639
E	S	0.0093528239266455
T	Z	0.0069909706207658
Z	E	0.0068091348499451
R3	Z	0.0056823824920798
Z	T	0.0035876507426464
s	z	0.0035068045285389
z	E	0.0031153870229004
S	z	0.0030269854517618
R3	N	0.0027060610510115
Z	N	0.0025800163467208
S	E	0.0020427038555718
z	R2	0.0017684227272063
E	z	0.0012888061712513
R2	z	0.0012245757759581
T	s	0.0011772738743119
R3	R2	0.0011304842035671
N	z	0.0010614728336071
N	R2	0.0009399960014087
S	R2	0.0009175826932291
z	R3	0.0007886752632352
T	R3	0.0007696210080386
Z	z	0.0007074092656893
R3	s	0.0006309947556336
T	z	0.0005953561308918
T	R2	0.0005884567958347
T	E	0.0005830427146527
R3	z	0.0005396151835537
N	T	0.0005195605141924
R2	E	0.0005124426622675
E	s	0.0005094375727542
R2	s	0.0005084165470945
S	R3	0.0004981879624779
R2	R3	0.0004909411637204
E	R2	0.0004830942761412
s	R2	0.0004003437925022
Z	R2	0.000339973109263
R3	T	0.0003183140582949
z	s	0.000308016588711
Z	R3	0.0002744501706598
R3	E	0.0002349271935221
S	s	0.0002076069223232
E	R3	0.0001548036775583
N	E	9.15386044609438e-05
s	R3	7.896514486009495e-05
S	T	5.17758346430551e-05
Z	s	4.337856825489155e-05
N	s	2.5090338824297773e-05
N	R3	1.835488151177412e-05
s	E	7.1101432942223365e-06
N	N	0.0
z	z	0.0
s	s	0.0
S	S	0.0
R3	R3	0.0
Z	Z	0.0
R2	R2	0.0
E	E	0.0
T	T	0.0
